LandProvince;SeaZone;x;y;
selfoss;faxa_bay;6723;7275;x
keflavik;faxa_bay;6665;7281;x
reikjavik;faxa_bay;6693;7298;x
hvolsvollur;vestmanna_islands;6757;7253;x
gardr;qaqortoq_coast;5619;7054;x
brattahlid;qaqortoq_coast;5622;7068;x
dyrnes;qaqortoq_coast;5601;7063;x
hvalsey;qaqortoq_coast;5595;7041;x
einarsfjord;qaqortoq_coast;5609;7029;x
vatnahverfi;qaqortoq_coast;5630;7048;x
herjolfsnes;prins_christianssund_coast;5666;6985;x
petursvik;qaqortoq_coast;5649;6997;x
lundey;qaqortoq_coast;5637;7002;x
altafjord;qaqortoq_coast;5652;7026;x
ketilsfjord;qaqortoq_coast;5665;7017;x
siglufjord;qaqortoq_coast;5631;7021;x
eggers_o;prins_christianssund_coast;5681;6972;x
arsuk;neria_coast;5482;7082;x
gronnedal;neria_coast;5503;7077;x
ivituut;neria_coast;5498;7064;x
sandnes;nuuk_fjord;5405;7297;x
lysufjord;nuuk_fjord;5375;7289;x
godthab;nuuk_fjord;5374;7298;x
kapisillit;nuuk_fjord;5383;7322;x
anavik;nuuk_fjord;5408;7342;x
kangeq;nuuk_fjord;5340;7307;x
orkney;fair_isle_gap;7546;6922;x
shetland;sumburgh_head;7641;6983;x
torshavn;faroe_islands1;7369;7136;x
antwerp;scheldt_estuary;7887;6370;x
bergen_zoom;rhine_estuary;7884;6383;x
hulst;scheldt_estuary;7865;6374;x
sint_niklaas;scheldt_estuary;7889;6367;x
bruges;scheldt_estuary;7842;6374;x
dunkirk;strait_of_dover;7797;6353;x
ostend;scheldt_estuary;7822;6366;x
veurne;scheldt_estuary;7810;6359;x
emden;east_frisian_islands;7997;6529;x
jever;jade_bay;8043;6536;x
leer;emms_estuary;8022;6503;x
appingedam;emms_estuary;8008;6509;x
groningen;emms_estuary;8000;6518;x
wedde;emms_estuary;8019;6502;x
sloten;zuiderzee;7952;6473;x
harlingen;west_frisian_islands;7929;6515;x
leeuwarden;emms_estuary;7963;6513;x
stavoren;wadden_sea;7935;6493;x
wolvega;zuiderzee;7955;6472;x
kampen;zuiderzee;7963;6461;x
amsterdam;zuiderzee;7920;6442;x
amersfoort;zuiderzee;7936;6437;x
alkmaar;holland_coast;7900;6459;x
hoorn;zuiderzee;7923;6460;x
the_hague;rhine_estuary;7891;6411;x
dordrecht;rhine_estuary;7898;6411;x
geertruidenberg;rhine_estuary;7899;6405;x
rotterdam;rhine_estuary;7880;6404;x
middelburg;rhine_estuary;7862;6392;x
harderwijk;zuiderzee;7949;6443;x
lubeck;bay_lubeck;8187;6554;x
heiligenhafen;bay_lubeck;8184;6579;x
eutin;bay_lubeck;8183;6557;x
kiel;lilla_balt;8154;6577;x
heide;elbe_estuary;8099;6558;x
steinburg;elbe_estuary;8117;6543;x
pinneberg;elbe_estuary;8137;6524;x
plon;lilla_balt;8155;6580;x
elsfleth;jade_bay;8066;6513;x
gestenthorpe;jade_bay;8078;6514;x
bremen;jade_bay;8081;6499;x
osterholz;jade_bay;8078;6504;x
delmenhorst;jade_bay;8080;6499;x
stade;elbe_estuary;8132;6524;x
hamburg;elbe_estuary;8142;6523;x
neuhaus;elbe_estuary;8103;6545;x
ritzebuttel;elbe_estuary;8088;6546;x
grevesmuhlen;bay_lubeck;8202;6554;x
wismar;bay_lubeck;8212;6549;x
doberan;bay_lubeck;8223;6566;x
rostock;bay_lubeck;8243;6566;x
stralsund;fischland_coast;8275;6580;x
ribnitz;fischland_coast;8257;6572;x
grimmen;fischland_coast;8296;6570;x
rugen;fischland_coast;8312;6588;x
swinousjcie;pommeranian_bay;8305;6563;x
wolgast;pommeranian_bay;8337;6554;x
anklam;stettin_lagoon;8326;6541;x
stettin;stettin_lagoon;8355;6527;x
ueckermunde;stettin_lagoon;8330;6538;x
kamien;stettin_lagoon;8363;6553;x
goleniow;stettin_lagoon;8360;6519;x
koszalin;pommeranian_coast;8423;6574;x
gryfia_gora;pommeranian_coast;8383;6564;x
kolobrzeg;pommeranian_coast;8403;6571;x
slupsk;east_pommerania_coast;8461;6597;x
lebork;east_pommerania_coast;8500;6611;x
slawno;east_pommerania_coast;8436;6584;x
london;thames;7691;6383;x
southampton;solent;7628;6341;x
portsmouth;solent;7633;6337;x
lymington;solent;7616;6331;x
wight;solent;7627;6323;x
dover;strait_of_dover;7754;6358;x
canterbury;thames;7732;6373;x
rochester;thames;7705;6378;x
hythe;strait_of_dover;7736;6350;x
shoreham;seven_sisters;7677;6337;x
lewes;seven_sisters;7698;6332;x
hastings;seven_sisters;7711;6338;x
chichester;seven_sisters;7666;6335;x
boston;wash;7697;6486;x
grimsby;humber_estuary;7681;6532;x
louth;wash;7704;6507;x
spalding;wash;7700;6476;x
lancaster;liverpool_bay;7559;6561;x
liverpool;liverpool_bay;7549;6521;x
preston;liverpool_bay;7550;6542;x
scarborough;flamborough_head;7674;6579;x
whitby;flamborough_head;7651;6595;x
hull;humber_estuary;7692;6529;x
bridlington;humber_estuary;7682;6555;x
newcastle;northumbrian_coast;7624;6630;x
alnwick;northumbrian_coast;7620;6660;x
morpeth;northumbrian_coast;7619;6644;x
carlisle;solway_firth;7548;6621;x
cockermouth;solway_firth;7533;6612;x
egremont;solway_firth;7531;6579;x
kendal;liverpool_bay;7551;6568;x
durham;northumbrian_coast;7629;6617;x
stockton;northumbrian_coast;7635;6605;x
chester;liverpool_bay;7559;6506;x
macclesfield;liverpool_bay;7564;6507;x
lynn;wash;7707;6475;x
yarmouth;anglian_coast;7759;6475;x
fakenham;wash;7730;6485;x
colchester;thames;7735;6402;x
prittlewell;thames;7732;6388;x
barking;thames;7712;6383;x
ipswich;thames;7756;6419;x
lowestoft;thames;7768;6437;x
launceston;lizard_point;7491;6306;x
truro;lizard_point;7461;6292;x
bodmin;bude_bay;7476;6330;x
portishead;severn;7554;6375;x
minehead;severn;7536;6363;x
plymouth;lyme_bay;7530;6310;x
exeter;lyme_bay;7545;6328;x
barnstaple;severn;7511;6365;x
bideford;severn;7493;6350;x
poole;solent;7598;6330;x
weymouth;lyme_bay;7581;6324;x
dorchester;lyme_bay;7563;6329;x
bristol;severn;7568;6387;x
gloucester;severn;7572;6395;x
inverness;moray_firth;7510;6808;x
urquhart;moray_firth;7499;6801;x
elgin;moray_firth;7537;6819;x
dingwall;moray_firth;7504;6814;x
gairloch;north_minch;7429;6805;x
ullapool;north_minch;7452;6832;x
dornoch;moray_firth;7511;6834;x
durness;cape_wrath;7479;6877;x
tongue;cape_wrath;7497;6877;x
thurso;pentland_firth;7547;6884;x
inverary;firth_of_lorne;7438;6712;x
oban;firth_of_lorne;7446;6727;x
cowal;clyde_firth;7456;6678;x
lochaber;firth_of_lorne;7452;6746;x
ardtornish;little_minch;7424;6756;x
kintyre;firth_of_lorne;7431;6696;x
lewis;butt_of_lewis;7379;6857;x
uist;south_uist;7352;6778;x
harris;north_uist;7376;6831;x
skye;little_minch;7396;6783;x
arran;clyde_firth;7445;6664;x
mull;little_minch;7414;6727;x
islay;firth_of_lorne;7411;6687;x
mann;liverpool_bay;7484;6562;x
edinburgh;firth_of_forth;7546;6694;x
dunbar;firth_of_forth;7573;6698;x
linlithgow;firth_of_forth;7538;6694;x
stirling;firth_of_forth;7519;6699;x
stranraer;north_channel;7470;6614;x
ayr;clyde_firth;7472;6650;x
kirkcudbright;solway_firth;7504;6611;x
irvine;clyde_firth;7476;6665;x
dumfries;solway_firth;7534;6622;x
glasgow;clyde_firth;7493;6686;x
paisley;clyde_firth;7486;6686;x
dumbarton;clyde_firth;7472;6695;x
duns;firth_of_forth;7595;6687;x
berwick;firth_of_forth;7605;6673;x
dunfermline;firth_of_forth;7526;6698;x
st_andrews;firth_of_tay;7565;6719;x
cupar;firth_of_forth;7549;6703;x
perth;firth_of_tay;7549;6723;x
dundee;firth_of_tay;7568;6729;x
arbroath;firth_of_tay;7577;6737;x
stonehaven;firth_of_tay;7591;6761;x
aberdeen;firth_of_tay;7597;6779;x
buchan;kinnaird_head;7607;6812;x
banff;moray_firth;7562;6816;x
carmarthen;severn;7490;6402;x
pembroke;milford_haven;7459;6397;x
fishguard;st_georges_channel;7454;6414;x
kidwelly;severn;7499;6395;x
cardigan;cardigan_bay;7493;6432;x
aberystwyth;cardigan_bay;7504;6447;x
carnarvon;dublin_bay;7493;6493;x
anglesey;dublin_bay;7496;6498;x
conwy;liverpool_bay;7505;6503;x
harlech;cardigan_bay;7507;6467;x
flint;liverpool_bay;7544;6507;x
denbigh;liverpool_bay;7528;6507;x
cardiff;severn;7547;6380;x
monmouth;severn;7565;6387;x
newport;severn;7557;6385;x
neath;severn;7517;6386;x
swansea;severn;7503;6394;x
dublin;dublin_bay;7408;6508;x
fingal;dublin_bay;7411;6511;x
wicklow;dublin_bay;7415;6488;x
wexford;st_georges_channel;7394;6442;x
new_ross;hook_head;7379;6432;x
ferns;st_georges_channel;7407;6460;x
carrickfergus;north_channel;7426;6603;x
belfast;north_channel;7420;6598;x
ballycastle;clyde_firth;7416;6635;x
dunluce;lough_foyle;7395;6644;x
downpatrick;north_channel;7436;6582;x
iveagh;dundalk_bay;7407;6561;x
newtownards;north_channel;7433;6592;x
derry;lough_foyle;7366;6630;x
coleraine;lough_foyle;7381;6639;x
donegal;donegal_bay;7310;6595;x
kilmacrennan;bloody_foreland;7320;6640;x
inishowen;lough_foyle;7368;6647;x
raphoe;lough_foyle;7345;6650;x
oriel;dundalk_bay;7405;6561;x
dundalk;dundalk_bay;7400;6550;x
drogheda;dundalk_bay;7406;6535;x
galway;galway_bay;7282;6499;x
clifden;slyne_head;7231;6517;x
sligo;donegal_bay;7293;6575;x
skreen;donegal_bay;7289;6577;x
dromahair;donegal_bay;7307;6588;x
burrishoole;clew_bay;7237;6538;x
erris;erris_head;7240;6575;x
cork;cork_harbour;7313;6407;x
kinsale;cork_harbour;7304;6396;x
youghal;cork_harbour;7331;6411;x
killarney;bantry_bay;7236;6424;x
carbery;bantry_bay;7257;6398;x
kilbrittain;mizen_head;7278;6387;x
tralee;shannon_estuary;7256;6457;x
dingle;slea_head;7216;6432;x
limerick;shannon_estuary;7288;6463;x
adare;shannon_estuary;7270;6459;x
ennis;galway_bay;7263;6481;x
bunratty;shannon_estuary;7287;6464;x
moyarta;galway_bay;7259;6475;x
waterford;hook_head;7366;6428;x
dungarvan;cork_harbour;7334;6414;x
carrickbeg;hook_head;7353;6426;x
quimper;coast_of_cornouaille;7504;6140;x
chateaulin;ushant;7489;6164;x
le_faou;ushant;7498;6169;x
quimperle;coast_of_cornouaille;7521;6136;x
nantes;quiberon_bay;7607;6101;x
blain;quiberon_bay;7606;6102;x
guerande;quiberon_bay;7575;6106;x
machecoul;quiberon_bay;7591;6096;x
dol;saint_malo_gulf;7612;6190;x
saint_malo;saint_malo_gulf;7599;6189;x
saint_brieuc;saint_malo_gulf;7570;6186;x
brest;ushant;7488;6174;x
chatelaudren;saint_malo_gulf;7563;6194;x
st_pol_de_leon;breton_sea;7514;6192;x
treguier;breton_sea;7535;6204;x
vannes;quiberon_bay;7557;6123;x
hennebont;coast_of_cornouaille;7538;6131;x
redon;quiberon_bay;7576;6118;x
mimizan;coast_aquitaine;7631;5909;x
tartas;coast_aquitaine;7628;5889;x
tosse;basque_coast;7624;5869;x
bayonne;basque_coast;7620;5859;x
bordeaux;gironde;7664;5955;x
benauges;gironde;7663;5957;x
castelnau_de_medoc;gironde;7661;5961;x
la_teste_de_buch;coast_aquitaine;7638;5933;x
lesparre_medoc;gironde;7636;5973;x
libourne;gironde;7659;5972;x
narbonne;coast_languedoc;7834;5833;x
agde;mouths_rhone;7856;5851;x
beziers;coast_languedoc;7843;5843;x
nimes;mouths_rhone;7878;5860;x
melgueil;mouths_rhone;7874;5862;x
montpellier;mouths_rhone;7865;5857;x
caen;seine_bay;7679;6236;x
bayeux;seine_bay;7652;6240;x
fecamp;alabaster_coast;7709;6269;x
arques;alabaster_coast;7743;6281;x
aumale;alabaster_coast;7751;6286;x
longueville;alabaster_coast;7736;6278;x
tancarville;seine_bay;7693;6248;x
coutances;saint_malo_gulf;7619;6213;x
cherbourg;seine_bay;7609;6262;x
avranches;saint_malo_gulf;7624;6194;x
jersey;saint_malo_gulf;7593;6228;x
st_sauveur;saint_malo_gulf;7615;6233;x
lisieux;seine_bay;7692;6240;x
pont_audemer;seine_bay;7702;6245;x
abbeville;alabaster_coast;7766;6295;x
calais;strait_of_dover;7775;6348;x
boulogne_sur_mer;strait_of_dover;7762;6332;x
montreuil;strait_of_dover;7762;6307;x
beauvoir;quiberon_bay;7596;6082;x
fontenay;ile_de_re;7638;6039;x
talmont;ile_de_re;7619;6045;x
la_rochelle;ile_de_re;7638;6027;x
oleron;ile_de_re;7631;6020;x
royan;gironde;7646;5991;x
rochefort;ile_de_re;7640;6012;x
jonzac;gironde;7656;5980;x
aix_en_provence;mouths_rhone;7917;5854;x
arles;mouths_rhone;7907;5848;x
marseille;cape_sicie;7943;5839;x
frejus;french_riviera;7998;5849;x
toulon;french_riviera;7975;5834;x
nice;riviera_ponente;8034;5875;x
grasse;french_riviera;8010;5861;x
coruna;rias_altas;7309;5848;x
betanzos;rias_altas;7316;5848;x
ferrol;rias_altas;7318;5858;x
mondonedo;cape_penas;7362;5863;x
vivero;rias_altas;7344;5870;x
finisterre;costa_da_morte;7283;5843;x
noya;rias_baixas;7284;5814;x
pontevedra;rias_baixas;7293;5788;x
tuy;rias_baixas;7293;5779;x
villaviciosa;coast_asturias;7446;5860;x
cangas;coast_asturias;7453;5858;x
llanes;coast_asturias;7469;5855;x
aviles;cape_penas;7411;5864;x
castropol;cape_penas;7380;5863;x
santander;bay_santander;7517;5855;x
laredo;bay_santander;7534;5854;x
san_vicente_barquera;coast_asturias;7487;5853;x
bilbao;bay_santander;7554;5852;x
valmaseda;bay_santander;7552;5849;x
san_sebastian;basque_coast;7600;5848;x
tolosa;basque_coast;7593;5846;x
barcelona;costa_daurada;7790;5722;x
sitges;costa_daurada;7767;5712;x
girona;gulf_of_roses;7837;5762;x
castellon_ampurias;gulf_of_roses;7834;5779;x
sant_feliu;costa_brava;7827;5747;x
tarragona;costa_daurada;7741;5705;x
tortosa;ebro_delta;7723;5688;x
perpignan;coast_languedoc;7830;5805;x
castellon_de_la_plana;gulf_of_valencia;7687;5629;x
ares_del_maestre;ebro_delta;7701;5648;x
peniscola;ebro_delta;7710;5661;x
denia;cap_nau;7701;5564;x
gandia;gulf_of_valencia;7684;5576;x
orihuela;costa_blanca;7660;5512;x
alicante;costa_blanca;7671;5536;x
elche;costa_blanca;7666;5526;x
valencia;gulf_of_valencia;7677;5603;x
palma;bay_palma;7801;5609;x
ciudadela_de_menorca;favaritx_cape;7889;5631;x
ibiza;eivissa_coast;7761;5573;x
manacor;mallorca_coast;7843;5607;x
pollensa;bay_alcudia;7833;5632;x
esgueira;cape_mondego;7295;5681;x
feira;cape_mondego;7295;5694;x
figueira;cape_mondego;7285;5652;x
leiria;berlengas_islands;7281;5630;x
porto;cape_mondego;7296;5709;x
barcelos;mouth_douro;7290;5731;x
viana_do_castelo;mouth_douro;7286;5750;x
lagos;cape_sao_vicente;7295;5458;x
faro;cape_st_mary;7328;5454;x
silves;cape_sao_vicente;7306;5458;x
tavira;cape_st_mary;7346;5461;x
odemira;cape_sines;7289;5488;x
sines;cape_sines;7289;5506;x
lisbon;bay_setubal;7279;5565;x
alcacer_do_sal;bay_setubal;7294;5541;x
alcobaca;berlengas_islands;7274;5609;x
setubal;bay_setubal;7279;5557;x
torres_vedras;berlengas_islands;7261;5580;x
cadiz;trafalgar;7408;5423;x
algeciras;strait_of_gibraltar;7444;5401;x
gibraltar;strait_of_gibraltar;7450;5407;x
sanlucar;bay_of_cadiz;7408;5445;x
tarifa;trafalgar;7434;5395;x
huelva;bay_of_cadiz;7375;5466;x
ayamonte;cape_st_mary;7359;5464;x
niebla;bay_of_cadiz;7390;5454;x
sevilla;bay_of_cadiz;7416;5458;x
coria_del_rio;bay_of_cadiz;7413;5456;x
almeria;gulf_of_almeria;7584;5443;x
mojacar;gulf_of_almeria;7606;5456;x
adra;costa_sol;7558;5437;x
almunecar;costa_sol;7528;5436;x
malaga;costa_sol;7489;5433;x
marbella;strait_of_gibraltar;7458;5419;x
velez_malaga;costa_sol;7505;5437;x
murcia;costa_blanca;7657;5506;x
cartagena;gulf_mazarron;7647;5488;x
lorca;gulf_mazarron;7621;5478;x
mula;gulf_mazarron;7631;5487;x
chieti;abruzzo_coast;8341;5793;x
lanciano;abruzzo_coast;8350;5785;x
vasto;abruzzo_coast;8361;5776;x
atri;abruzzo_coast;8330;5807;x
csantangelo;abruzzo_coast;8335;5799;x
larino;tremiti_islands;8376;5762;x
bari;gulf_manfredonia;8460;5710;x
barletta;gulf_manfredonia;8441;5718;x
monopoli;penne_cape;8484;5696;x
manfredonia;gulf_manfredonia;8421;5742;x
rotondo;tremiti_islands;8408;5761;x
sansevero;tremiti_islands;8390;5759;x
lecce;strait_otranto;8526;5663;x
brindisi;penne_cape;8506;5682;x
gallipoliita;maria_leuca_cape;8521;5628;x
martinafr;gulf_taranto;8469;5670;x
taranto;gulf_taranto;8480;5669;x
lagonegro;gulf_policastro;8405;5640;x
matera;gulf_taranto;8457;5658;x
santarcangelo;gulf_taranto;8452;5648;x
catanzaro;gulf_squillace;8452;5567;x
cotrone;gulf_squillace;8479;5583;x
gerace;spartivento_cape;8434;5530;x
monteleone;eolie_islands;8415;5561;x
nicastro;eolie_islands;8429;5567;x
palmi;strait_messina;8415;5544;x
reggiocal;strait_messina;8403;5516;x
cassano;gulf_taranto;8445;5630;x
scalea;gulf_policastro;8409;5626;x
paola;gulf_policastro;8420;5602;x
rossano;gulf_taranto;8451;5616;x
naples;gulf_napoli;8342;5689;x
caserta;gulf_napoli;8325;5702;x
gaeta;gulf_napoli;8316;5716;x
salerno;gulf_napoli;8363;5680;x
campagna;gulf_napoli;8371;5670;x
salacon;gulf_policastro;8401;5642;x
vallo;gulf_policastro;8380;5649;x
comacchio;po_delta;8250;5938;x
rimini;romagna_coast;8267;5893;x
cesena;po_delta;8256;5907;x
ravenna;po_delta;8253;5918;x
pesaro;romagna_coast;8288;5879;x
rome;coast_lazio;8256;5741;x
terracina;gulf_terracina;8283;5720;x
velletri;gulf_terracina;8270;5727;x
bracciano;coast_lazio;8247;5753;x
civitavecchia;coast_lazio;8231;5765;x
corneto;coast_lazio;8223;5778;x
bastia;corsica_channel;8123;5806;x
aleria;corsica_east_coast;8127;5774;x
calvi;gulf_florent;8099;5804;x
genoa;gulf_genoa;8094;5914;x
lavagna;gulf_genoa;8113;5912;x
sarzana;riviera_levante;8140;5896;x
ajaccio;gulf_asinara;8091;5754;x
bonifacio;strait_bonifacio;8105;5728;x
sartene;gulf_asinara;8095;5744;x
vico;corsica_west_coast;8085;5781;x
albenga;gulf_genoa;8068;5897;x
finalborgo;gulf_genoa;8075;5896;x
