From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
chateaulin;brest;sea;ushant;7483;6171;7483;6173;xxx
oleron;la_rochelle;sea;ile_de_re;7633;6029;7635;6029;xxx
oleron;rochefort;sea;ile_de_re;7636;6009;7638;6009;xxx
lesparre_medoc;libourne;sea;gironde;7656;5972;7660;5972;xxx
coruna;ferrol;sea;rias_altas;7312;5852;7313;5855;xxx
niebla;sanlucar;sea;bay_of_cadiz;7400;5445;7404;5445;xxx
wight;lymington;sea;solent;7625;6331;7625;6334;xxx
wight;portsmouth;sea;solent;7637;6331;7637;6335;xxx
rochester;prittlewell;sea;thames;7714;6381;7714;6384;xxx
st_andrews;dundee;sea;firth_of_tay;7559;6723;7559;6727;xxx
skye;ardtornish;sea;north_minch;7424;6782;7428;6782;xxx
mull;ardtornish;sea;firth_of_lorne;7425;6730;7425;6732;xxx
islay;inverary;sea;firth_of_lorne;7431;6708;7433;6708;xxx
kintyre;arran;sea;clyde_firth;7441;6670;7445;6670;xxx
kintyre;cowal;sea;clyde_firth;7445;6683;7448;6684;xxx
cockermouth;dumfries;sea;solway_firth;7542;6620;7542;6622;xxx
chester;liverpool;sea;liverpool_bay;7552;6514;7555;6514;xxx
anglesey;conwy;sea;liverpool_bay;7503;6504;7504;6501;xxx
anglesey;carnarvon;sea;dublin_bay;7493;6496;7495;6494;xxx
aberystwyth;harlech;sea;cardigan_bay;7506;6452;7506;6455;xxx
monmouth;bristol;sea;severn;7568;6391;7570;6389;xxx
moyarta;tralee;sea;shannon_estuary;7249;6459;7251;6456;xxx
adare;moyarta;sea;shannon_estuary;7270;6457;7270;6460;xxx
inishowen;coleraine;sea;lough_foyle;7371;6638;7373;6636;xxx
dundalk;iveagh;sea;dundalk_bay;7411;6555;7413;6557;xxx
paramushiru;shumushu;sea;lopatka_cape;14798;6330;14800;6330;xxx
awa_shikoku;awaji;sea;east_seto_sea;13818;5285;13820;5287;xxx
akashi;awaji;sea;east_seto_sea;13836;5310;13836;5307;xxx
kaisou;awaji;sea;east_seto_sea;13837;5289;13833;5289;xxx
ochi;toyota;sea;central_seto_sea;13744;5289;13744;5292;xxx
nakatsu;toyoura;sea;shimonoseki_strait;13649;5265;13649;5267;xxx
kagoshima;kimotsuki;sea;sata_cape;13634;5128;13637;5128;xxx
amakusa;izumi_satsuma;sea;amakusa_sea;13609;5163;13612;5163;xxx
amakusa;akita_kumamoto;sea;shimabara_bay;13627;5187;13629;5188;xxx
amakusa;takaki;sea;shimabara_bay;13616;5184;13616;5188;xxx
nishisonogi;higashisonogi;sea;oomura_bay;13594;5217;13594;5219;xxx
qikiqtagruk;nuurvik;sea;hotham_inlet;303;7508;303;7514;xxx
aguyaq;igiugig;sea;kvichak_bay;548;6908;548;6906;xxx
caniqaq;nuciiq;sea;hinchinbrook_bay;938;6992;942;6992;xxx
nuciiq;taatiilaaq;sea;hinchinbrook_bay;1054;7023;1058;7023;xxx
yakataga;yaakwdaat;sea;yakutat_bay;1334;6977;1336;6974;xxx
xutsnoowu;t_aaku;sea;funter_bay;1567;6849;1567;6853;xxx
saanya;gitxsanimaax;sea;lax_kw_alaams;1766;6620;1770;6618;xxx
saanya;sm_algyax;sea;lax_kw_alaams;1757;6610;1760;6606;xxx
heiltsuk;oweekeno;sea;hakai_coast;1864;6402;1864;6398;xxx
tanakteuk;ma_amtagila;sea;beaver_cove;1935;6317;1935;6314;xxx
tanakteuk;k_omoks;sea;haro_strait;1977;6309;1977;6306;xxx
k_omoks;homalco;sea;haro_strait;1990;6311;1992;6311;xxx
k_omoks;klahoose;sea;haro_strait;1999;6297;2002;6297;xxx
twana;duwamish;sea;kitsap_bay;2119;6110;2125;6110;xxx
mewuk;awaswas;sea;san_francisco_bay;2116;5504;2118;5502;xxx
puna;guancavilca;sea;huancavilca_gulf;4041;3196;4038;3197;xxx
puna;guayaquil;sea;huancavilca_gulf;4049;3199;4051;3202;xxx
ancud;caurakawin;sea;coronado_gulf;4342;941;4342;946;xxx
saelam;jautok;sea;fajokstai_channel;4297;555;4297;558;xxx
kcewite;kelaelkces;sea;concepcion_channel;4305;377;4305;374;xxx
kolser;ciaike;sea;lomas_bay;4525;239;4522;242;xxx
carapachay;ombu;sea;uruguay_river;5029;1429;5032;1429;xxx
carapachay;yaros;sea;uruguay_river;5027;1450;5032;1450;xxx
cangucu;carijo;sea;patos_lagoon;5318;1545;5322;1543;xxx
icabaqua;tapes;sea;patos_lagoon;5364;1638;5368;1638;xxx
arua_amazon;curumu;sea;vieira_grande_bay;5367;3312;5367;3309;xxx
mariocai;curumu;sea;vieira_grande_bay;5360;3290;5363;3290;xxx
mazagao;arua_amazon;sea;santana_island;5348;3322;5351;3322;xxx
wayampi;mariocai;sea;fura_dos_araiolos;5327;3275;5330;3275;xxx
bani_cuba;sagua;sea;nipe_bay;4252;4502;4254;4501;xxx
kiawah;wando;sea;port_royal_sound;4055;5195;4057;5197;xxx
nansemond;kiskiack;sea;lower_chesapeake_bay;4219;5451;4217;5454;xxx
werowocomoco;wicocomico;sea;lower_chesapeake_bay;4212;5490;4212;5493;xxx
minguannan;cohansey;sea;delaware_bay;4249;5606;4253;5606;xxx
minguannan;tetamekanch;sea;delaware_bay;4248;5615;4252;5615;xxx
massapequa;manhattan;sea;raritan_bay;4326;5686;4329;5686;xxx
pemetic;majabigwaduce;sea;schoodic_ridge;4582;5917;4582;5920;xxx
passamaquoddy;grand_manan;sea;grand_manan_basin;4640;5944;4643;5944;xxx
petitcodiac;maccan;sea;chignecto_bay;4758;6006;4761;6005;xxx
jijkwtuk;maccan;sea;minas_basin;4760;5975;4760;5979;xxx
canso;apaqtukowatek;sea;strait_of_canso;4900;5989;4900;5991;xxx
canso;qospemk;sea;strait_of_canso;4895;5994;4898;5994;xxx
antigonish;qospemk;sea;strait_of_canso;4893;5997;4896;5997;xxx
pogomeg;paspebiac;sea;chaleur_bay;4669;6154;4669;6157;xxx
ahwendoe;etchemin;sea;mouth_of_saint_lawrence;4459;6076;4459;6073;xxx
ahwendoe;kikonteku;sea;mouth_of_saint_lawrence;4456;6075;4456;6072;xxx
ahwendoe;ondaonnentakwi;sea;mouth_of_saint_lawrence;4457;6078;4456;6080;xxx
nikahionhwakowa;cataraqui;sea;bay_of_quinte;4222;5901;4219;5903;xxx
mackinac;manitoulin;sea;northern_lake_huron;3890;6014;3892;6014;xxx
wemitigoj;manitoulin;sea;cunningham_point;3966;6022;3963;6018;xxx
navskov;svendborg;sea;lilla_balt;8194;6617;8185;6620;xxx
wolgast;swinousjcie;sea;pommeranian_coast;8319;6558;8317;6558;xxx
swinousjcie;kamien;sea;pommeranian_coast;8359;6549;8361;6549;xxx
mestre;venice;sea;gulf_venice;8252;5986;8254;5984;xxx
