locationA,locationB,accessType,through_location
aashbikkaashee,iisaxpuatahcheeaashe,land,
aashbikkaashee,ishpiialawaache,land,
aashbiliihkupe,ashalaho,river,
aashbiliihkupe,buaxaxxaashe,land,
aashbiliihkupe,cuthuhogwa,land,
aashise,aluutashe,land,
aashise,baashalapache,river,
aashise,binmatshua,river,
aashise,buaxaxxaashe,land,
aashise,granite,land,
aashise,mahpahpahazhhah,land,
aashise,turah,land,
aays,kiamichi,river,
aays,nanatsoho,river,
aays,nasoni,river,
aays,nisohone,land,
aays,tawakoni,land,
aays,yscani,river,
aba_al_qur,al_labbah,land,
aba_al_qur,arar,land,
abaco_coast,bahama,port,
abaco_coast,bimini_channel,sea,
abaco_coast,eleuthera,coastal,
abaco_coast,lucayoneque,coastal,
abaco_coast,palm_beach,sea,
abaco_coast,san_salvador_coast,sea,
abaco_coast,western_atlantic_high_sea1,sea,
abaco_coast,western_atlantic_high_sea2,sea,
abaco_coast,western_atlantic_high_sea3,sea,
abacoa,andros_coast,port,
abacoa,bimini_channel,coastal,
abacoa,torque_ocean,coastal,
abadan,dowraq,land,
abadan,iranian_bay,coastal,
abadan,kuwait_bay,port,
abadan,muhammerah,river,
abadan,quban,land,
abadan,zuwayr,river,
abadeh,abarkuh,land,
abadeh,eqlid,land,
abadeh,shahr_meyan,land,
abadeh,yazdikhwast,land,
abadeh_tashk,harat,land,
abadeh_tashk,kherameh,land,
abadeh_tashk,lake_batkhtegan,lake,
abadeh_tashk,lake_tashk,lake,
abadeh_tashk,meshkan,land,
abadeh_tashk,neyriz,land,
abadeh_tashk,zarqan,land,
abaga,amga,river,
abaga,darkylakh,land,
abaga,myndagai,river,
abaga,nuotara,land,
abaga,uchele,land,
abaga,uorga,land,
abagaita,dalai_nuur,land,
abagaita,hasar,land,
abagaita,hulun,river,
abagaita,khirkhira,river,
abagaita,lake_hulun,lake,
abagaita,tsagaan,land,
abagaita,zyyn_tar_nuur,land,
abaiang_atoll,abaiang_coast,port,
abaiang_atoll,marakei_coast,coastal,
abaiang_coast,aranauka_coast,sea,
abaiang_coast,maiana_atoll,coastal,
abaiang_coast,makin_coast,sea,
abaiang_coast,marakei_coast,sea,
abaiang_coast,tarawa_atoll,coastal,
abaiang_coast,tungaru_high_sea_8,sea,
abaiang_coast,tungaru_high_sea_9,sea,
abakasnk,askiz,land,
abakasnk,beya,river,
abakasnk,minusinsk,land,
abakasnk,tatarskaya_tesyu,river,
abala,adigrat,land,
abala,agula,land,
abala,dallol,land,
abala,manadeley,land,
abala,mekele,land,
abalak,aderbissinat,land,
abalak,deoule,land,
abalak,in_gall,land,
abalak,kalfou,land,
abalak,marandet,land,
abalak,south_talak,land,
abalessa,abalessa_djanet_corridor,land,
abalessa,ain_abalessa_corridor,land,
abalessa,sahel_corridor21,land,
abalessa,sahel_corridor23,land,
abalessa,talak,land,
abalessa,tenere,land,
abalessa_djanet_corridor,djanet,land,
abalessa_djanet_corridor,tenere,land,
aban,biryusa,land,
aban,chunoyar,river,
aban,dzerzhinskoye,land,
aban,ilansky,land,
aban,taseyevo,river,
abare_i,araritaguaba,river,
abare_i,botucatu,river,
abare_i,brotas,river,
abare_i,itapetininga,river,
abare_i,itapeva,river,
abare_i,itaporanga,river,
abare_i,piracicaba,river,
abarkuh,dasht_khara2,land,
abarkuh,dehshir,land,
abarkuh,eqlid,land,
abarkuh,yazdikhwast,land,
abashiri,kawakami_hokkaido,land,
abashiri,minamiabashiri,land,
abashiri,notoro_cape,port,
abashiri,shari,land,
abashiri,tokoro,land,
abau,kwomtari,land,
abau,maia_papua,river,
abbeville,alabaster_coast,port,
abbeville,amiens,land,
abbeville,aumale,land,
abbeville,corbie,land,
abbeville,montreuil,land,
abdalkuri_coast,arabian_sea1,sea,
abdalkuri_coast,arabian_sea7,sea,
abdalkuri_coast,arabian_sea8,sea,
abdalkuri_coast,cape_elephant,sea,
abdalkuri_coast,guardafui_channel,sea,
abdalkuri_coast,gulf_aden3,sea,
abdalkuri_coast,hadibu,coastal,
abdalkuri_coast,qulensya,port,
abdalkuri_coast,shuub_cape,sea,
abdanan,al_madar,land,
abdanan,al_tib,land,
abdanan,darrehshahr,land,
abdanan,dehloran,land,
abdanan,hamidiyeh,land,
abdanan,meymeh,land,
abdanan,pol_dokhtar,land,
abdanan,shush,land,
abdas,al_madar,river,
abdas,al_qatr,river,
abdas,al_tib,river,
abdas,basra,river,
abdas,wasit,river,
abdulino,bavly,land,
abdulino,bizhbulyak,land,
abdulino,buguruslan,land,
abdulino,buzuluk,land,
abdulino,sadak,land,
abdulino,turkmenevo,river,
abe,ihara,land,
abe,koma_kai,land,
abe,shida,land,
abe,shuuchi,land,
abegweit_passage,kouchibouguac,port,
abegweit_passage,malpeque,coastal,
abegweit_passage,malpeque_bay,sea,
abegweit_passage,memramcook,port,
abegweit_passage,miramichi_bay,sea,
abegweit_passage,richibucto,port,
abegweit_passage,tatamagouche_bay,sea,
abegweit_passage,tignish,coastal,
abemama_atoll,abemama_coast,port,
abemama_atoll,aranauka_coast,coastal,
abemama_coast,aranauka_coast,sea,
abemama_coast,aranuka_atoll,coastal,
abemama_coast,autakena_spit,sea,
abemama_coast,beru_coast,sea,
abemama_coast,maiana_atoll,coastal,
abemama_coast,marakei_coast,sea,
abemama_coast,nonouti_atoll,coastal,
abemama_coast,tungaru_high_sea_4,sea,
abengourou,apollonia,river,
abengourou,assinie,river,
abengourou,daoukro,land,
abengourou,dormaa,land,
abengourou,goaso,river,
abengourou,grand_bassam,land,
abengourou,hemang,land,
abengourou,toumodi,river,
aberdeen,buchan,land,
aberdeen,firth_of_tay,port,
aberdeen,inverurie,land,
aberdeen,kinnaird_head,coastal,
aberdeen,mar,land,
aberdeen,stonehaven,land,
aberfeldy,badenoch,land,
aberfeldy,scone,land,
aberfeldy,strathearn,land,
aberystwyth,cardigan,land,
aberystwyth,cardigan_bay,port,
aberystwyth,harlech,through-sea,cardigan_bay
aberystwyth,machynlleth,land,
abesehir,am_dam,land,
abesehir,djedaa,land,
abesehir,guereda,land,
abesehir,hadjer_haddid,land,
abesehir,ouara,land,
abesehir,oum_hadjer,land,
abha,abil,land,
abha,al_harjah,land,
abha,al_maddah,land,
abha,khaybar_janoub,land,
abha,muhayil,land,
abha,rijal_almaa,land,
abha,sabt_bani_bishr,land,
abhar,avaj,land,
abhar,qeydar,land,
abhar,sirdan,land,
abhar,soltaniyeh,land,
abhar,takestan,land,
abihka,apica,river,
abihka,ishtaboli,land,
abihka,ohatchee,river,
abihka,pakana,river,
abihka,talisi,river,
abihka,tescuntee,land,
abihka,tuckabutche,land,
abil,bariq,land,
abil,khaybar_janoub,land,
abil,muhayil,land,
abil,samakh,land,
abil,tanomah,land,
abimatinu,buskegau,river,
abimatinu,kapuskasing,river,
abimatinu,kwetabohigan,river,
abimatinu,takwata,land,
abimatinu,wakusimi,river,
abingdon,banbury,river,
abingdon,chippenham,river,
abingdon,cirencester,land,
abingdon,henley,land,
abingdon,oxford,river,
abingdon,reading,river,
abisko,bardodalen,land,
abisko,juckasjarvi,land,
abisko,nikkaluokta,river,
abisko,ofoti,land,
abisko,raunala,land,
abisko,torne_trask,lake,
abisko,troms,land,
abitau,dubawnt,land,
abitau,natalkai,land,
abitau,tazin,land,
abitau,tazin_lake,lake,
abitau,thoa,river,
abiward,anew,land,
abiward,dargaz,land,
abiward,kalat_nader,land,
abiward,quchan,land,
abiward,radkan,land,
abiward,tus,land,
abiy_addi,adwa,land,
abiy_addi,antalo,land,
abiy_addi,axum,river,
abiy_addi,debarq,river,
abiy_addi,mekele,land,
abiy_addi,sokota,river,
abiz,khargerd,land,
abiz,qaen,land,
abiz,shahrakht,land,
abiz,zohan,land,
abiz,zozan,land,
abo,abo_skargard,port,
abo,nystad,land,
abo,poytis,land,
abo,sauvo,land,
abo_skargard,alands_hav,sea,
abo_skargard,east_botnia,sea,
abo_skargard,ekenas,coastal,
abo_skargard,north_central_baltic,sea,
abo_skargard,nystad,port,
abo_skargard,sauvo,port,
abo_skargard,west_gulf_of_finland,sea,
abomey,ajase,river,
abomey,ardra,land,
abomey,dassa_zoume,river,
abomey,ketu,river,
abomey,tado,land,
abong,akonolinga,river,
abong,bertoua,land,
abong,kadey,land,
abong,sanaga,land,
abong,sangmelima,river,
aborlan,babuyan,land,
aborlan,balabac_strait,coastal,
aborlan,balabak,land,
aborlan,green_island_bay,coastal,
aborlan,treacherous_bay,port,
abrahamtelke,adony,land,
abrahamtelke,buda,river,
abrahamtelke,fehervar,land,
abrahamtelke,felegyhaza,land,
abrahamtelke,kecskemet,land,
abrahamtelke,pest,river,
abrahamtelke,solt,river,
abruzzo_coast,atri,port,
abruzzo_coast,chieti,port,
abruzzo_coast,conero_cape,sea,
abruzzo_coast,csantangelo,port,
abruzzo_coast,gulf_kastela,sea,
abruzzo_coast,lanciano,port,
abruzzo_coast,larino,coastal,
abruzzo_coast,tremiti_islands,sea,
abruzzo_coast,vasto,port,
abu,kanoashi,land,
abu,mino,land,
abu,ootsu,land,
abu,saba,land,
abu,takayama_cape,port,
abu,yoshiki_suou,land,
abu_abyad_island,abu_dhabi,coastal,
abu_abyad_island,abu_gamys_cape,sea,
abu_abyad_island,das_island,sea,
abu_abyad_island,marawah,port,
abu_abyad_island,sir_bani_yas,coastal,
abu_abyad_island,southern_trucial_coast,sea,
abu_dawood_cape,fujairah_coast,sea,
abu_dawood_cape,gulf_oman1,sea,
abu_dawood_cape,hadd_cape,sea,
abu_dawood_cape,masqat,port,
abu_dawood_cape,qalhat,coastal,
abu_dhabi,al_ayn,land,
abu_dhabi,dubai,land,
abu_dhabi,marawah,land,
abu_dhabi,southern_trucial_coast,port,
abu_gamys_cape,al_bidda,coastal,
abu_gamys_cape,al_udayd,port,
abu_gamys_cape,das_island,sea,
abu_gamys_cape,matbakh_cape,sea,
abu_gamys_cape,sir_bani_yas,port,
abu_hamed,berber,river,
abu_hamed,horn_desert_corridor3,land,
abu_hamed,karima,river,
abu_hamed,shemkhiya,river,
abu_kemal,anah,river,
abu_kemal,rahba,river,
abu_kemal,syrian_desert_corridor8,land,
abu_qasr,al_harrah,land,
abu_qasr,basithah,land,
abu_qasr,bir_fajr_basithah_corridor,land,
abu_qasr,dumat_al_jandal,land,
abu_rakah,adham,land,
abu_rakah,bani_saad,land,
abu_rakah,barahrah,land,
abu_rakah,ghumayqah,land,
abu_rakah,turbah,land,
abulat_island,al_lith,port,
abulat_island,al_qunfudhah,coastal,
abulat_island,al_shuaiba_coast,sea,
abulat_island,al_sirrayn,port,
abulat_island,red_sea2,sea,
abulat_island,south_tihamah_coast,sea,
abun,abun_coast,port,
abun,dampier_strait,coastal,
abun,maybrat,land,
abun,moi,land,
abun_coast,bakaro_bay,sea,
abun_coast,cape_saobas,sea,
abun_coast,dampier_strait,sea,
abun_coast,indonesia_high_sea51,sea,
abun_coast,indonesia_high_sea52,sea,
aburakeiru,anegada_passage,coastal,
aburakeiru,bay_san_juan,coastal,
aburakeiru,virgin_passage,coastal,
aburra,cocorna,land,
aburra,ebejico,land,
aburra,guarzo,land,
aburra,pantagoras,land,
aburra,sotachiro,land,
abuta,isoya,land,
abuta,iwanai,land,
abuta,sapporo,land,
abuta,shiraoi,land,
abuta,suttsu,land,
abuta,uchiura_bay,port,
abuta,yoichi,land,
abutua,bumbuzi,river,
abutua,chedzurgwe,land,
abutua,dambwe,river,
abutua,dhlo_dhlo,land,
abutua,ingombe_ilede,land,
abutua,khami,land,
abutua,nembudziya,land,
abutua,rimuka,land,
abutua,sebakwe,land,
abutua,shoma,land,
aby_lagoon,apollonia,port,
aby_lagoon,assinie,port,
aby_lagoon,axim,coastal,
aby_lagoon,cape_three_points,sea,
aby_lagoon,ebrie_lagoon,sea,
aby_lagoon,north_eastern_atlantic84,sea,
aby_lagoon,north_eastern_atlantic85,sea,
abyan_coast,ahwar,port,
abyan_coast,al_ushaydah_cape,sea,
abyan_coast,gulf_aden1,sea,
abyan_coast,saylan_cape,sea,
abyan_coast,shuqra,coastal,
abyy,esteriktyaax,river,
abyy,kebergene,river,
abyy,kien_kuol,land,
abyy,shestakova,river,
abyy,solomoydokh,river,
abyy,syagannaax,river,
abyy,tuyandina,river,
acambaro,cuitzeo_lake,lake,
acambaro,huandacareo,land,
acambaro,ixtachichimecapan,land,
acambaro,kerhiretarhu,land,
acambaro,maravatio,river,
acambaro,nat_tha_hi,land,
acambaro,xiriquitzio,land,
acambaro,yuririapundaro,river,
acambaro,zinapecuaro,land,
acanti,darien_gulf,port,
acanti,murri,river,
acaponeta,aztatlan,land,
acaponeta,chiametlan,land,
acaponeta,guarisamey,land,
acaponeta,huizache_lagoon,coastal,
acaponeta,maloya,land,
acaponeta,mezquital,land,
acaponeta,nayarit,land,
acaponeta,nayarit_coast,port,
acapulco_bay,chantengo_lagoon,sea,
acapulco_bay,east_pacific_high_sea4,sea,
acapulco_bay,nuxco_lagoon,sea,
acapulco_bay,tecpan,port,
acapulco_bay,yopitzinco,port,
acarau,arerius,land,
acarau,igaracu,land,
acarau,jenipaboacu,land,
acarau,tacariju,land,
acarau,tapuia,land,
acarau,tremembe,land,
acari,cahuachi,land,
acari,maracona_gulf,coastal,
acari,pukiupukio,land,
acari,tucssa,land,
acari,yauca,land,
acari,yauca_coast,port,
acasaguastlan,chiquimula,land,
acasaguastlan,cuauhtemallan,river,
acasaguastlan,kajyub,land,
acasaguastlan,ocotepec,land,
acasaguastlan,toquegua,river,
acatic,chapallan,land,
acatic,coinan,land,
acatic,ixtlahuacan,land,
acatic,tepactitlan,land,
acatic,tonala,river,
acayucan,atzaccan,land,
acayucan,coatzacoalco,land,
acayucan,coatzacoalcos_bay,port,
acayucan,iztachacalapan,land,
acayucan,tesechoacan,land,
acayucan,texistepec,land,
accomac,chesapeake_channel,coastal,
accomac,chincoteague_bay,port,
accomac,lower_chesapeake_bay,coastal,
accomac,wicomico,land,
accra,accra_point,port,
accra,akropong,land,
accra,apa_lagoon,coastal,
accra,kibi,land,
accra,mankessim,land,
accra,winneba,land,
accra_point,akropong,port,
accra_point,apa_lagoon,sea,
accra_point,cape_saint_paul,sea,
accra_point,north_eastern_atlantic86,sea,
accra_point,north_eastern_atlantic87,sea,
acerenza,altamura,land,
acerenza,andria,land,
acerenza,melfi,land,
acerenza,montepeloso,land,
acerenza,potenza,land,
achacachi,titimani,land,
achacachi,titiqaqa_lake,lake,
achacachi,viacha,land,
achachiwa,camana,land,
achachiwa,uyo_uyo,land,
achachiwa,yanque,land,
achaivayam,apuka,land,
achaka,kolyma_river,river,
achaka,kolymskoie,river,
achaka,omoloon,river,
achaka,xalima,river,
acham,bajhang,land,
acham,bajura,land,
acham,dipayal,river,
acham,dullu,land,
acham,kailali,river,
acham,sinja,river,
achan,kedar,land,
achan,kur,land,
achan,lake_bolon,lake,
achan,lake_khummi,lake,
achan,nemptu,river,
achan,simmi,land,
achan,uninka,river,
achan,uschu,river,
achan,xungake,river,
achava,bukhta_mutnaya,port,
achava,kamchatka_trail1,land,
achava,oktyabr_skii,land,
achchen_bay,enmyl_yn,port,
achchen_bay,guvrel,coastal,
achchen_bay,kongkok_bay,sea,
achchen_bay,mechigmenskiy_zaliv,sea,
achchen_bay,medvezh_ye_bay1,sea,
achchen_bay,north_pacific_high_sea47,sea,
achchen_bay,north_pacific_high_sea88,sea,
achchen_bay,sevuokuk_point,sea,
achchen_bay,sigheneg,port,
achen,corcovado_gulf,coastal,
achen,guaitecas_archipelago,coastal,
achen,guamblin_island,port,
achen,puyuguapi_channel,coastal,
achikamii,kabinakagami,land,
achikamii,mammamattawa,river,
achikamii,mattawishkwia,land,
achikamii,nagagami,land,
achikamii,watistiguam,river,
achim,bremen,river,
achim,hoya,river,
achim,osterholz,land,
achim,verden,land,
achim,zeven,land,
achit_nuur,khovd,land,
achit_nuur,khurgan,land,
achit_nuur,khyargas_nuur,land,
achit_nuur,lake_achit,lake,
achit_nuur,tsagaan_usun,land,
achit_nuur,ulaamgom,land,
acholi,gondokoro,river,
acholi,karamoja,land,
acholi,lango,land,
acholi,pubungu,river,
acholi,rejaf,river,
acholi,teso,land,
achomawi,atsugewi,land,
achomawi,cui_yui_ticutta,land,
achomawi,modokni,land,
achomawi,panina_ticutta,land,
achomawi,tollin,river,
achomawi,yana,river,
aco,ayo,land,
aco,gunza_anbamba,land,
aco,lucala,river,
aco,mussende,land,
aco,nanboa_angonga,land,
aco,pungo_ndongo,river,
aconca_hue,liwen,land,
aconca_hue,qillu_uta,land,
aconca_hue,uspallata,land,
aconca_hue,waykuche,land,
aconchi,aritpa,land,
aconchi,cucurpe,land,
aconchi,matape,land,
aconchi,oposura,land,
aconchi,ures,land,
aconquija,kilmes,land,
aconquija,pipanaco,land,
aconquija,pipanaco_salt_pan,lake,
aconquija,shincal,land,
aconquija,watungasta,land,
aconquija,yukkuman,land,
acoroazes,ipueira,river,
acoroazes,irece,land,
acoroazes,jaguarari,river,
acoroazes,kaapiuara,land,
acoroazes,parnagua,land,
acqui,alba,land,
acqui,alessandria,land,
acqui,asti,land,
acqui,cairo_montenotte,land,
acqui,ceva,land,
acqui,genoa,land,
acre,bay_haifa,port,
acre,jaffa,land,
acre,nablus,land,
acre,safed,land,
acre,sidon,land,
acroas,akwe,river,
acroas,caraja,river,
acroas,coco,land,
acroas,gurupi,land,
acroas,karaja,land,
acroas,kraho,river,
acroas,tupirama,land,
acroas,xerente,river,
acteon,matureivavao_coast,port,
acu_lagoon,frio_cape,sea,
acu_lagoon,guaitaka,coastal,
acu_lagoon,mokaie,port,
acu_lagoon,paraiba_delta,sea,
acu_lagoon,western_atlantic_high_sea41,sea,
acu_lagoon,western_atlantic_high_sea42,sea,
acuera,apopka_lake,lake,
acuera,george_lake_fl,lake,
acuera,guazoco,river,
acuera,harris_lake,lake,
acuera,ho_bay,land,
acuera,itaraholata,land,
acuera,jororo,river,
acuera,surruque,river,
acuera,vicela,land,
ad_dawasir,aqiq_banu_uqayi,land,
ad_dawasir,ranyah,land,
ad_dilam,al_hajr,land,
ad_dilam,al_yamamah,land,
ad_dilam,ar_rayn,land,
ad_dilam,muzahmiyah,land,
ad_dilam,naam,land,
ad_disah,al_azlam,land,
ad_disah,al_bleiteh,land,
ad_disah,al_khanbarah,land,
ad_disah,al_muwaylih,land,
ad_disah,al_ukhaydir,land,
ad_disah,bada_yaqub,land,
ad_disah,duba,land,
ad_dughmiyah,al_amlah,land,
ad_dughmiyah,dhalam,land,
ad_dughmiyah,muwayh,land,
ad_dughmiyah,turbah,land,
adachi,asaka,land,
adachi,date_loc,land,
adachi,namekata,land,
adachi,shineha,land,
adachi,shinobu,land,
adachi,tamura,land,
adachi,yama_jap,land,
adachi_kanto,hiki,land,
adachi_kanto,katsushika,land,
adachi_kanto,saitama,land,
adachi_kanto,toshima_kanto,land,
adakli,genc,land,
adakli,palu,land,
adakli,tercan,land,
adalaga,barvinkove,land,
adalaga,berestyn,land,
adalaga,izium,land,
adalaga,karlivka,land,
adalaga,sloviansk,river,
adalaga,zmiiv,river,
adams_bridge,indian_coast32,coastal,
adams_bridge,indian_coast33,coastal,
adams_bridge,indian_coast34,coastal,
adan,al_mafalis,land,
adan,lahj,land,
adan,marshaq_cape,port,
adan,saylan_cape,coastal,
adan,zinjibar,land,
adana,anavarza,river,
adana,ayas,river,
adana,gulf_alexandretta,port,
adana,gulf_mersin,coastal,
adana,tarsus,land,
adang_bay,cape_belangbelang,sea,
adang_bay,cape_udung,sea,
adang_bay,jembayan,port,
adang_bay,laut_strait,sea,
adang_bay,mahakam_delta,sea,
adang_bay,paser,port,
adang_bay,tuyuk,port,
adanki,kanigiri,land,
adanki,kondavidu,land,
adanki,markapur,land,
adanki,motupalli,land,
adanki,vinukonda,land,
adare,dunhallow,land,
adare,fermoy,land,
adare,killmallock,land,
adare,limerick,land,
adare,moyarta,through-sea,shannon_estuary
adare,shannon_estuary,port,
adare,tralee,land,
addu_atoll,addu_coast,port,
addu_coast,maldives_high_sea_3,sea,
addu_coast,maldives_high_sea_4,sea,
addu_coast,maldives_high_sea_5,sea,
addu_coast,maldives_high_sea_6,sea,
addu_coast,maldives_high_sea_7,sea,
addu_coast,maldives_high_sea_9,sea,
addu_coast,nilandhe_coast,sea,
adena,chenoka,land,
adena,eskippakaithiki,land,
adena,kentucky,land,
adena,lewekeomi,land,
adena,pennyrile,land,
adena,warioto,river,
adeqiu,dzingcho,river,
adeqiu,sangme,river,
adeqiu,tsakhalkho,river,
adeqiu,zhuluo,river,
aderbissinat,birni_lalle,land,
aderbissinat,deoule,land,
aderbissinat,marandet,land,
aderbissinat,ollelewa,river,
adham,al_sirrayn,land,
adham,barahrah,land,
adham,ghumayqah,land,
adigrat,agula,land,
adigrat,buri,land,
adigrat,dallol,land,
adigrat,senafe,land,
adigrat,zula,land,
adilabad,asifabad,land,
adilabad,kalam,land,
adilabad,kelapur,river,
adilabad,mahur,river,
adilabad,manikdrug,river,
adilabad,nirmal,land,
adilabad,yegaladapa,land,
adirondacks,kanyengehaga,land,
adirondacks,kawenote,land,
adirondacks,niiohehsane,land,
adirondacks,oneyotdehaga,land,
adirondacks,oronia,land,
adirondacks,oswegatchie,land,
adixoodagoorahareesh,awatixa,land,
adixoodagoorahareesh,koostaaka,river,
adixoodagoorahareesh,maanaagi_iixodagish,river,
adixoodagoorahareesh,waahukaahaanu,river,
adjud,focsani,river,
adjud,roman,land,
adjud,targu_trotus,river,
adjud,tecuci,river,
adjud,tulnici,land,
adlur,balkonda,land,
adlur,kaulas,land,
adlur,medak,land,
adlur,tupran,land,
adlur,vemulawada,river,
admiralty_sound,felipe_bay,sea,
admiralty_sound,haiyuwel,coastal,
admiralty_sound,hamhmam,port,
admiralty_sound,malte,coastal,
ado_ekiti,ewu,land,
ado_ekiti,ikere,river,
ado_ekiti,ilesa,river,
ado_ekiti,lokoja,land,
ado_ekiti,oke_ila,land,
ado_ekiti,oshogbo,river,
adoni,bellari,river,
adoni,dhone,land,
adoni,gutti,land,
adoni,kurnool,river,
adoni,raichur,land,
adony,fehervar,land,
adony,simontornya,land,
adony,solt,land,
adony,tolna,land,
adony,veszprem,land,
adra,almeria,land,
adra,almunecar,land,
adra,costa_sol,port,
adra,gulf_of_almeria,coastal,
adra,orgiva,land,
adrada,las_navas,land,
adrada,oropesa,land,
adrada,puebla_de_montalban,land,
adrada,talavera_de_la_reina,land,
adranos,bursa,land,
adranos,domanic,river,
adranos,dursunbey,river,
adranos,harmancik,land,
adranos,lake_uluabat,lake,
adranos,mihalic,river,
adrar,ain_salah,land,
adrar,charouine,land,
adrar,tabelbala_charouine_corridor,land,
adraskan,awbeh,land,
adraskan,herat,land,
adraskan,karokh,land,
adraskan,shindand,land,
adraskan,tulak,land,
adshusheer,eno,river,
adshusheer,gowtano,land,
adshusheer,meherrin,land,
adshusheer,occaneechi,land,
adshusheer,pamticough,river,
adshusheer,sissipahaw,land,
aduma,bateke_kongo,river,
aduma,djundu,river,
aduma,mbaka_jungle,land,
aduma,okanja,land,
adwa,agula,land,
adwa,axum,land,
adwa,mekele,land,
adwa,senafe,land,
adwa,yeha,land,
adyukh,chatyun,land,
adyukh,khumar,river,
adyukh,shad_kirman,river,
adyukh,uspenskoye,land,
adyumba,bakele_kongo,land,
adyumba,cape_lopez,port,
adyumba,gabon_coast,coastal,
adyumba,lambarene,land,
adyumba,nguyi,land,
adyumba,ogoowe_coast,coastal,
adyumba,ogoowe_kongo,land,
adzera,rawa_papua,river,
adzera,wampar,land,
aekyom,beami,land,
aekyom,muyu,land,
aerzhai,bayannur,river,
aerzhai,dingyuan_lingzhou,land,
aerzhai,hebin,river,
aerzhai,ordos,land,
aerzhai,otog,land,
aerzhai,uraqai,river,
afade,dikwa,land,
afade,gambaru,land,
afade,goulfey,land,
afade,logone_birni,land,
afade,makary,land,
afade,mora_cam,land,
afade,mser,land,
afanasyevo,dondykar,land,
afanasyevo,kelich,land,
afanasyevo,kirs,river,
afanasyevo,kudymkar,land,
afanasyevo,omutninsk,land,
afanasyevo,siva,land,
afanasyevo,stepanenki,river,
afif,al_baharah,land,
afif,al_ghrabah,land,
afif,al_hufayrah,land,
afif,al_mardamah,land,
afif,ramah,land,
afikpo,awka_etiti,river,
afikpo,ikom,land,
afikpo,ogoja,land,
afikpo,ugbo,land,
afmadow,bardera,land,
afmadow,buale,land,
afmadow,central_dahalo,river,
afmadow,garreh,land,
afmadow,jilib,river,
afmadow,kismayo,river,
afmadow,north_dahalo,river,
afrera,amora_gadal,land,
afrera,balho,land,
afrera,chercher,land,
afrera,dallol,land,
afrera,hayq,land,
afrera,manadeley,land,
afrera,mora_eth,land,
african_high_sea1,african_high_sea2,sea,
african_high_sea1,eastern_atlantic_highseas_9,sea,
african_high_sea1,kunene_coast,sea,
african_high_sea1,skeleton_coast,sea,
african_high_sea1,tigres_bay,sea,
african_high_sea10,african_high_sea11,sea,
