location,status,good_results
panamahkas,good result,tawahka|tawahka|danli
wej,good result,debre_libanos|gambo|dima
megantic,good result,onkobagag|maskikogamak
orchha,good result,lalitpur|jhansi
pasho,good result,shopando|pema
korenevo,good result,yuryev_povolzhsk|kadyy|unzha
arakaiu,good result,kariri|xoko
medininkai,good result,kraziai
kapuskaypachik,good result,tadoule|seal_river_upland
apoquitaua,good result,urucurituba|turas|amazon_jungle
sansepolcro,good result,cittacastello|arezzo|sanlorenzo
sarahan,good result,nako|suket
xuyi,good result,hongze_lake|eso|rey|linhuai
altun_kupri,good result,qaladiza|al_sinn
kuripan,good result,muara_bahan|ife|ou|kapuas|kahayan_hilir|ou|karau|abe
grant_creek,good result,birches|tanana
mallig,good result,tubigarao|bolo
chiluane,good result,mambone|madanda|sofala_bay
aarau,good result,burgdorf_emmental|ou|ou|baden_im_aargau|basel|mullheim
phuktal,good result,padum|himalaya5|ia
necoes,good result,dawhee
mechoopda,good result,ye|yo_loy|yupu
assorodus,good result,tsikahiotsisto|ob|oswego|caguya_lake|canadaigua
systyg,good result,choigan|ulug
kharibta,good result,ramsis|tarrana|menouf
kolno,good result,lomza|ou
szolnok,good result,heves|szeged
mandleshwar,good result,mandu|maheshwar
chakan,good result,pune|western_ghats_pune
digenegh,good result,tovisq_ol|yukonikhotana|koyukon_forest
guiyang_hengyang,good result,changning|xincheng|qiyang
soltsy_kirishi,good result,gruzino|staraya_ladoga|chudovo
parakana,good result,asurini|para_gaviao|saraua_jungle
chumuch,good result,chetilla|congona|pirca_pirca
kulanapan,good result,ukomno_om
tulazi,good result,onseong|sosura_cape
daule,good result,guayaquil|yaguachi|baba|babahuyu
drahushiv,good result,soroca|karabul|mohyliv_podilskyi
aruamu,good result,rao|abu_jungle|angoram
kidderminster,good result,osa|shrewsbury|eso|worcester|ye
trang_an,good result,thai_binh
sunju,good result,seogyeong|seongcheon|deokju
ashaval,good result,baroda|dholka|khambat|modasa|patan|champaner
karniki,good result,one|dubok
talavera_de_la_reina,good result,puebla_de_montalban|puente_arzobispo
yo_loy,good result,suisin|river_nomlaki|koyoongkawi|ye|mechoopda
zula_michoacan,good result,xacona|tlazazalca|penlamu|ou
nizhny_tagil,good result,lysva|kalatay|pervouralsk|nizhnyaya_salda
kohat,good result,pindi_gheb
gimje,good result,jeonju|hansan|cheonsu_bay
anyang,good result,fuyang|ath|ann|linzhou|linzhang
has,good result,prizren|koman
kudepyapka,good result,yukta|ilimpeya
delyankir,good result,artyk|arga_tas_upplands
jeziarysca,good result,nevel
shelek,good result,shengeldy|charyn
chirovoye,good result,ervykynnot|amguema
quetzalla,good result,culiacan|otaez
ilyinsko_podomskoye,good result,yarensk
astrakhan,good result,zamyany|caspian_sea16
pakaasnovos,good result,madeira_amazon_jungle|karipuna
cuicatlan,good result,teotitlan|ixcatlan|xicaltepec
vatyrkan,good result,kerek_uplands|khatyrka_coast
wayustikw,good result,kasakaupuyau|chipisipi
mengding_mengzi,good result,nalou|mengzi|thuy_vi
jabar,good result,suruc|raqqa|ena|tabqah|al_bab|manbij|maskanah
capoque,good result,brazos_mouth|toho
cofaqui,good result,ocute|etoho
limerick,good result,bunratty
vorontsovo,good result,nicalaax|olenegorsk|ocuogun|khargytyr
binder,good result,bongor|bakka
nazimovo,good result,yeniseysk|selo_yartsevo|siberian_wasteland_15|kiya|tis_reka
yaik,good result,atach
erachimo,good result,turukhansk|tunguska_trail1
krenak,good result,malalis|ia|itanhomi|mutum|bam|yun|ars
lomello,good result,pavia|voghera|casale|tak
olomouc,good result,ye|prostejov|zabreh|sumperk|prerov|opava
zara,good result,hafik
khaqmar,good result,yuldibay
geldern,good result,cuijk
saukiog,good result,agawam|ye|ob|nehantuck
changsha,good result,xiangtan
canela_apanyekra,good result,paranaidji|guajajara|canela_ramkokamekra
akola,good result,illichpur|amravati|mehkar
kineepikwameekwa,good result,mameiwasipi|wabash
alexeyevskaya,good result,uryupin|kumylzhenskaya
ishpiialawaache,good result,iisaxpuatahcheeaashe|hot_springs
sauveterre_de_guyenne,good result,marmande|bazas|benauges|libourne|bergerac
amalyk,good result,bodaybo|taksimo|kuanda|olyokma_upplands4
kinge,good result,mussombo|kuito
kwapa,good result,kwatsaan|colorado
st_at_imcets,good result,scw_exmx|llenllenet_ten
ust_maia,good result,eldikan|ia|ust_yudoma|ust_mil
baja_hungary,good result,tolna|kalocsa
mistango,good result,nahma|mattawasaga
pairindi,good result,yaguari_guazu|gualeguay
boyabat,good result,gumus|tosya|gerze
toledo,good result,ocana|illescas|puebla_de_montalban
ka_aub,good result,ath|gmaap|ath|taung|griekwastad
santarem,good result,salvaterra
apiacas,good result,tapajos_amazon_jungle|kaiabi|ikpeng
bracciano,good result,rome|aoe|epe|ye|wa|orte|fez|coast_lazio|epe
tamalameque,good result,curumanao|mompoj|norosi|zapatosa_swamp
legnago,good result,rovigo|este|verona
bugara,good result,shubi|buzanga|haya|ou|ndorwa|mugamba
kunjabangarh,good result,khurda|angul
debagarh,good result,pal_lahara|bonaigarh
kalmius,good result,kamenskaya|luhansk
konski_vody,good result,kichkas|kuchugur
kresttsy,good result,bronnitsa|kulotino
olgov,good result,kursk|kosozhichi|sudzha
bauzi,good result,kwerba|nisa|bagusa_jungle
sakitawahk,good result,mistahi_sakahikan|missinipi
aslanduz,good result,varsan|kaleybar
jaguarari,good result,ann|paranabuku|abo|tumbalala|acoroazes|emet
taipengruodong,good result,luyang|zhenyuan_sizhou
talkhir,good result,kurty|shengeldy
nimes,good result,uzes|tarascon
kyaukme,good result,kyaukse|hsipaw|lawksawk
xilin,good result,bada|boai
guazacapan,good result,chiquimula
kirs,good result,afanasyevo|tom|gayny|ye|koygorodok|ia
pingdisonglin,good result,qingzhou_mongol|yanshan_mountains1
jeminay,good result,burqin|kurchum
sha_ia_nde,good result,tonkawa|kula
wenteche,good result,lelbunmapu|inapiremapu|one
gujrat,good result,eminabad|bhimber|kohtali|khewra
karur,good result,erode|sendamangalam|tiruccirapalli|srirangam
luache,good result,kalanga
brody,good result,busk
turas,good result,apoquitaua|juris|amazon_jungle|madeira_amazon_jungle
kelkit,good result,siran
olsztyn,good result,ostroda|lidzbark
nanhai,good result,shunde|panyu|xinhui|sanshui
xucheng,good result,shouzhang|donge|yanggu_yanzhou
misask,good result,cauouatstacau|wahemen
guaviare,good result,caguan|arari|negro_amazon_jungle
thoa,good result,tatsan|abitau
zombodze,good result,
elgygytgyn,good result,chuvan1|chuvan2|ia|anjuj_river|omok_upplands1
massangano,good result,hondosaka|luanze|chiramba|tete|ancuase
volodymyrets,good result,dubrovytsia|stepan
taungoo,good result,lewe|pyinmana|phyu
eringiin,good result,khatgal|orte|ou|tarvagatai|ou
mende,good result,millau|massif_central
sirnak,good result,duhok|barqaid|ye|cizre|eruh
eroo,good result,kyakhta|amarbayas_galang|alyanbulag
braila,good result,galati|ramnicu_sarat|viziru|isaccea
keelivtyn,good result,kuukucyn|otrozhny|chuvan_upplands2
ptuj,good result,maribor|olsnica|cakovec|nagykanizsa|varazdin
uanaman,good result,manapakuaniskau|upuahpukau
quibdo,good result,gioro|tatama|bojaya
saarijoki,good result,nadvoitsy
laish,good result,bolghar
sobat,good result,ou|nuba_sud|fashoda|naser|pibor|meshra_er_req|shambe
ambagarh,good result,fez|kanker|nandgram
matemba,good result,luanze|mtoko
shichah,good result,wakmua_oin|kaya_paha
shetek,good result,watonwan
choconta,good result,caqueza|chingaza_mountains
kayan,good result,tanjung_palas|borneo_jungle9
vladimir,good result,muromtsevo_murom|sudogda|ye
bihariganj,good result,khagaria|purnia|saharsa
ilimo,good result,agaro|gore
ngabo,good result,nunu|bikoro
charikar,good result,bagram
qianzhou,good result,fufeng|xianyang
itscheabine,good result,osukyuze|hepa|ia|saakak_hukaahaanu
chivilco,good result,tubicha_mini
alfeld,good result,hildesheim|hamelin|holzminden|gandersheim
kennebec,good result,sagadahoc|messalonskee
anning,good result,kunming
pokegama,good result,chequamegon|odaawaa
sellinkyla,good result,repola|lindjarvi|semcojarvi|ia
tayxlama,good result,takspaslama|ia|wishram|mamachatpam
assabet,good result,naumkeag|nashua|assabet|wa|kem|otun|ia|ani|oban
misekumaw,good result,gani_koe|athabasca_plains|robins_lake_upland
pindiga,good result,bauchi|kalam_hill
matala,good result,ngola|po|caconda
bertoua,good result,ou|sanaga|kadey|meiganga|mbakaou|mbam
karor_2,good result,karor|bhakkar|ia|epe|wa
madi,good result,rumbek|lado|rejaf|tambura|yambio
antietam,good result,monocacy|ye|ye|po|wapocomo|ye
lingling,good result,yingdao|lengshuitan
toul,good result,vaucouleurs|ligny|saint_mihiel|nancy
ervykynnot,good result,chirovoye
nunatonowago,good result,silsby_lake_upland|kanaskipenaski|kaministikowak
yaqay,good result,kaweinag|yelmek
afanasyevo,good result,kirs|ye|stepanenki|mut
kagizman,good result,surmali|hasankale
karmakshi,good result,kamyskala|jubara
bogue_chitto,good result,capino|bulbancha
kerewo,good result,rumu
azamgarh,good result,akbarpur|ballia|chillupar|rudrapur|mau_jaunpur
nalyuchi,good result,lyakhovichy
okaw,good result,sangamon|matsigame|kaskankaham|ambraw|osanamon
rzeszow,good result,rudnik_poland|yaroslav_poland
dijkot,good result,jaranwala|chichawatni
shushtar,good result,ahvaz|hamidiyeh|dezful|somaleh
abomey,good result,ajase|ketu|dassa_zoume
rudnik,good result,branicevo|ravno|smederevo|jagodina
pennyrile,good result,aaboukingon|cuttaway|warioto
kingston,good result,london|woking
slany,good result,litomerice|beroun
javad,good result,beylagan|mahmudabad
kasimov,good result,tuma|koponovo
shizhou,good result,lichuan|shinan|jianshi
wabash,good result,quiaghtena|kineepikwameekwa|osanamon
maloshuyka,good result,russian_wastelands_1|abe|maloshuyka|kem|otun|ye|oban
ajara,good result,belgaum|western_ghats_belgaum
rashid,good result,alexandria|damanhur|el_burullus|fuwa
uel_tympychan,good result,peledui|tupuchikan
tumbuka,good result,ia|po|choma|lake_malawi|tak
curumanao,good result,hacaritamas|ariguani|norosi|tamalameque|ryn|zapatosa_swamp|ufa
reghin,good result,gheorgheni|gurghiu
osijek,good result,vaska|vukovar
miercurea_cluc,good result,sfantu_gheorghe|eastern_carpathians6
irek,good result,shyngyrlau|aksay_pointic|oral|shikashin
benewah,good result,kaniksu|skitswish
perreux,good result,semur_en_brionnais|feurs
tamu,good result,thaungdut
bidai,good result,nabaydacu|deadose|palaquechare|mayeye
shuntaneshnanga,good result,nodaway|nudarcha|kansas|monecato|nemaha|ni_haunchi_to
teniky,good result,ikalamavony|midongy|mahabo
sabalgarh,good result,agra|dholpur|karauli
south_meetto,good result,makonde|north_shirima
ocute,good result,altamaha|cofaqui|ogeechee|ohoopee
xavante,good result,bakairi|kukuro_kalapalo|kuhikugu|awen|auwe_jungle|iny_karaja
guanipa,good result,ipire|caroni|aro|kara|cachamay
dulgalakh,good result,tenki|machakh|zhargalakh|bala|sysy_meyite|suordakh|nyuele
scw_exmx,good result,nlaka_pamux|st_at_imcets|ath|skitsetsen
gembu,good result,kontcha|nkambe|bankim
nuorttijarvi,good result,kola|lapland_taiga2
kai_theli_ke_hot_inne,good result,tethul|mikkwa|lake_athabasca
natastan,good result,kapitukamach|shipastouk|tuy
sine_ngayene,good result,tankular|wanar
almaliq,good result,gulja|tokkuztara|chundzha
willka_pampa,good result,solimoes_amazon_jungle|choccalpata|sondor|auccapana|quillarumiyoc
makwanpur,good result,simraungadh|kathmandu|fwai
bardera,good result,buale|garbahare|luuq
rongmei_naga,good result,khaspur|khalangsha|thada|liangmei
mahmudabad,good result,javad|mughan|caspian_sea6
paracatu,good result,akwen|pinheiro|corumba|cayapo|nal|aratu
forcados,good result,warri|uvwie|epe
geynyan,good result,ou|wa|barunggam|turrbal|ia
qorveh_darjazin,good result,khondab|tafresh
pangvay,good result,bost|maiwand|kandahar|arghestan
lueyang,good result,huizhou|daan
zimnicea,good result,giurgiu|cherven|nikopol
bryanka,good result,kamensk|kiya|yeruda|vangash|kardakan
parapopeba,good result,ath|sabarabucu|aya|sete_lagoas|ou|piranga|ou|sao_joao_rei|oral|barbacena
chinchaga,good result,tsa_tinne|ksituan
jubara,good result,yangikent|karmakshi
wachilmezi,good result,ia|kikonteku|stadacona|awa|andawaohie
adlur,good result,vemulawada|emba
oladjau,good result,gooniyandi|jaru|bunuba
barbacena,good result,parapopeba|porto_turvo|rio_preto
ameca,good result,cuauhchinanco|huitzquilic
fanxian,good result,puyang|yanggu_yanzhou|juancheng
gapsan,good result,samsu|bukcheong
itapecuru,good result,timbira|manuais
vielha,good result,aspet
okam,good result,ushki|arka|okhosk_coast32
imakia,good result,ye|zhelezin|ou|lebyazhye|karasor|tuzdysor|uch
st_leonard,good result,limoges|aixe|bourganeuf
kaka,good result,renk|kosa|fashoda
aghkand,good result,miyaneh|hashatjin|sarcham
vekshenga,good result,shuyskoye|totma|ledengskoye
hof,good result,schleiz|ars|goa|wunsiedel|ye
tirekka,good result,bimbilla|kouande|sansanne_mango
moira,good result,msire|kwa_chavira
mardanaqom,good result,julfa|hadishahr
babruysk,good result,svietlahorsk|svislach|klichaw
massapa,good result,ath|tere
mafra,good result,palmeira_brasil|guarapuava|ye
cholohollay,good result,cayas|meramec|towosaghy|st_francois_mts
da_giang,good result,muong|trang|tam_dai
huozhu,good result,tes|shuicheng
ouasimesca,good result,samaqua|peribonka_hills
tupancireta,good result,ia|cruz_alta|oral|nandeva|umbu
djee,good result,tukuringra|tygde|dep|mulmuga
asirgarh,good result,abe|burhanpur|gawilgarh|pachora|nimar_mountains|aga
lengshuitan,good result,lingling|qiyang
liroema,good result,cuchi|dumbo
fushun_liaoyang,good result,jabiyan|shenyang
mayen,good result,cochem|ahrweiler|coblenz
yedey,good result,tit_ary|buotama|talalakh|sanyyakhtakh
burhanpur,good result,asirgarh|pachora
xinchang_yifeng,good result,shanggao
saakak_hukaahaanu,good result,waskada|metigoshe|itscheabine
nitra,good result,hlohovec|samorin|trnava|komarom
hildesheim,good result,hanover|alfeld
troitskoye_na_shchigrakh,good result,kolpny
modipe,good result,ani|bakgatla|egabeni|bamangwato
songzi,good result,jiangling|zhijiang|yiling
uromi,good result,akure|benin|uzea
pome,good result,shari|rigyal
danilov,good result,yaroslavl|lyubim
tsedzong,good result,tanggula2|tsonga_lake|nakchu
tsachila,good result,jama|panzaleo
askino,good result,mesyagutovo|ufa
yana,good result,amblu_kai|okwanuchu|wa|achomawi
dakhkat,good result,fanakat|khujand
ust_vym,good result,russian_wastelands_9|zheshart|ukhta
boussouma,good result,mane|ouagadougou|zorgho
dalai_nuur,good result,bayan_tumen|hulun
napituca,good result,epe|alapahoochee|malapaz
villanueva_del_fresno,good result,anew|elvas|moura
siyom,good result,siang|kem|otun|ou|ia
xalapan,good result,yuskus|ukutal
turov,good result,lakhva|pietrykaw|davyd_haradok
cuyahoga,good result,tuscarawas
hymahi,good result,santee|cofitachequi|talimeco|congaree
nuzket,good result,sargau|tasuktul
qusquasrundee,good result,maumee|kociihsasiipi
sabarabucu,good result,ou|ou|cataguases|kaxixo|curvelo|sete_lagoas|ou|santo_antonio_monte|oral|parapopeba
nanlang,good result,ryn|guangnan|bangban|bazhai|ann|xisa|bao_lac|binh_lam|ia
gomel,good result,rechytsa|streshyn|kholmyech
changle_fujian,good result,houguan|sansha_bay
tinnis,good result,lake_manzala|faqus
khamkeut,good result,keutkeut|ye|annamese_range3|ou
bwambe,good result,bata|maan_jungle
slovenj_gradec,good result,maribor|volkermarkt
mubi,good result,mandaragirau|ena|epe|ye|ess|kem|otun|ye
emasulia,good result,tamaroa|pahatsi|nudarcha
yangdi,good result,dengfeng|xiangcheng
taung,good result,eiland
bamba,good result,bourem|gourma_rharous
dragasani,good result,ramnicu_valcea|caracal
segou,good result,bla|nyamina|sansanding
pyay,good result,paungde|thayet|myanaung
vel_mo,good result,enashimo|kardakan
wels,good result,ye|amstetten|ely|ia|linz|freistadt
rochechouart,good result,limoges|aixe|chabanais
nelgese,good result,kyulyunken|nalyachchyya|sentachan
sardasht,good result,mawet|piranshahr
ulla,good result,polotsk|ushachy|vitebsk|syanno
grayling,good result,deloy_ges|kaltag
upper_ob,good result,megion|kargasok|vasyugan|siberian_wasteland_13
zile,good result,amasya|tokat
uberaba,good result,ia|sapukaia|barretos|tanabi|bororos|nal|bagagem|ou|pium_i
kazari,good result,lyubichi|ryazan
cutzamala,good result,cuitzeo|ajuchitlan
hersfeld,good result,rotenburg|hunfeld|ia|hersfeld|kem|otun|eso|ani|ani
karasor,good result,imakia|lebyazhye
goundi,good result,sarh|bousso
jingzhao,good result,xianyang|wa|sanyuan|ye
lindjarvi,good result,kondpoga|ia|aya|ia|pryazha|aya|sellinkyla|ou|semcojarvi|fin|suojarvi|ia
kreuznach,good result,simmern|mainz
naconiche,good result,calcasieu|nacao|nacogdoches|ayish
akre,good result,amadiya|erbil|mosul
thiers,good result,clermont
yishan,good result,abe|hechi|maping|liucheng
serkar,good result,sharu|jyekundo|lab
dillingen,good result,gunzburg|neuburg_an_der_donau
verkhnyaya_sinyachikha,good result,nizhnyaya_salda|sankina
vyshny_volochyok,good result,udomlya|bologoye|rakitnya|mon|olo|ryn
baryang,good result,tradun|gangdise8|himalaya9
bajura,good result,sinja|kharpunath
jiangjin,good result,ia|banan|bishan|hejiang
luxi,good result,yuanling|chenxi
machisque,good result,manouanis|onistagane
onguday,good result,altay_mountains|altayskoye|ust_koksa
curu_leufvu,good result,choele_choel|balcheta|bermeja_point
minamiuonuma,good result,kitauonuma|takai|minochi
winokapau,good result,kamassekuakamat|nipissu
siming,good result,longzhou_longzhou
east_makhuwa,good result,ath|saaka|mie|west_makhuwa|van
mano,good result,segbwema|cape_mount|bopolu|cape_mount_coast
canoochee,good result,sic|oconee|tacatacaru|ou|ou|sapelo
hapcheon,good result,seongju|miryang
jaynagar,good result,husaynabad|west_sundarban
lazkiye,good result,nazilli|usak|seyhli
tangipahoa,good result,houma|itihumma|lake_pontchartrain|maurepas_lake
cachopostales,good result,masacuajulam|yeme
dikimdya,good result,torgo|tyanya|aldan_upplands4|yeremeyevka
konkudera,good result,osenny|kamniga|eso|bodaybo|ou|kyakhtinskii
bistrita,good result,dej
mattole,good result,bor|sinkyone|po|jaroujiji|lost_coast
wabaseemong,good result,atikwa|wabigoon|manigotagan|maskwa
eufaula,good result,pallachacola|omusee
tame,good result,yopo|arauca|cocuy_mountains
namalata,good result,taunat|fez
sheulec,good result,dapiguemlec|tacshic|pitlaxa|niyaj
matagalpa,good result,ia|wa|boas|xiotenko
nevel,good result,jeziarysca|velikiye_luki
yiliang,good result,heyang|lunan
khunani,good result,gagi|hereti|shamkir
hehe,good result,rov|baode|kehu|hof|kaiguang
qubodijon,good result,hissar|aiwanj|farkhor|vakhs|arkhan
kara_irtysh,good result,monsol|burqin
suamox,good result,boiaca
veoneohe,good result,mahohevahoe
dieribakoro,good result,kankan|mandiana|niani|siguiri|kaba
arnstadt,good result,eisenberg|saalfeld
wuning,good result,jianchang|fenning
tengrela,good result,boundiali|niena
toniato,good result,kahwenoke|gananoque|ia|kaniatarahontsi
harrow,good result,abe|london|woking|windsor
ayo_ayo,good result,callapa
kodak,good result,samarchyk|ou|ars|oril|myshuryn_rih
dayao,good result,jinshajiang|ningfan|binchuan|juque
azia,good result,warri|nnewi
coweta,good result,ichisi|kealedji|pakanahuili|tussahaw
sishui,good result,qufu|feixian
ganggalida,good result,waanyi|nguburinji|gayardilt
kem,good result,suikujarvi|inner_onega_bay|ye|tes
bormio,good result,tresivio|otun|rhaetian_alps3
calcasieu,good result,tsikip|ya_ttaish|kisatchie|nacao|naconiche|ayish
beaune,good result,auxonne|louhans
kassinga,good result,ngola|cahama
anacostia,good result,monocacy|doeg|rey
yongan_sha,good result,qingliu|ou|shaxian|ye
guastalla,good result,ani|boe|casalmaggiore|mantova|ostiglia
awka_etiti,good result,arochukwu|afikpo
songzhou_songpan,good result,wenshan|rinpung
nandapur,good result,nas|ye|kotpad|malkangiri|abe
tuasi,good result,ia|ohatchee|ishtaboli
kouate,good result,abe|outapimiskou|tadoussac
bondo,good result,imbangala|mussende|pungo_ndongo
omaguacas,good result,tilcara|poposayo_mountains
mikulino,good result,vitebsk|velizh
baqubah,good result,meda|ely|baghdad|khalis|ukbara
etoho,good result,cofaqui|nacoochee|ia
karendo,good result,qom_caia|aim_mocoylek|lalek_cotaa
shichaam,good result,chishamnee|pitlaxa|wichi
jelgava,good result,bauska|tukums|riga|ye|ou
mandingring,good result,ngaoundaye|doba
uchee,good result,kasihta|atahachi|wakokai|omusee|patsaliga
vangash,good result,yeruda|kardakan|bryanka
houguan,good result,minxian|minqing|changle_fujian
kel_tegey,good result,khayyr|omoloy
norman_wells,good result,good_hope|tulita
piray,good result,sos|praiba_sul|ia|boe|ita_atiaia
jiazhou,good result,ars|ia|linxian|die|dinghu|kaiguang|suide|kaf
tulsa,good result,wakhakukdhin|pasukhdin|tawehash|chikaskia
pahang,good result,jerantut|pahang
sinja,good result,acham|bajura|dullu
cercy,good result,montcenis|nevers
kingany,good result,bombetoka_bay|andranomavo
sloviansk,good result,adalaga|bakhmut
etzatlan,good result,huitzquilic|wa|tala_mx
bielsko,good result,zywiec|pszczyna
guixi_guangxin,good result,yiyang_guangxin|anren_raozhou
borisoglebsk,good result,bolshaya_gribanovka|lar|uryupin|balashov
gorodets,good result,nizhny_novgorod|rastyapino|vasilyeva_sloboda
nyamina,good result,segou|koulikoro
uri,good result,kabsoru|sahel_corridor29
pabna,good result,ou|shahjadpur|rampur_boalla|fathabad|sreepur|bikrampur|savar
klondike,good result,mayo|chol
madoi,good result,darlag
maputo,good result,djonga|xai_xai|delagoa_bay
imangaq,good result,yukkhana
samriddhipuri,good result,vik|ia|annamese_range7|ia
cherohenaka_nc,good result,wiccacon|kehaukee|pamticough|one|loa
piscataquis,good result,penobscot|millinocket
patarabueye,good result,coyame
puyu,good result,hambatus|kichwa|sangay
manjung,good result,gerik|perak_coast
hoshangabad,good result,handia|chauragarh|tendukheda
ajehuac_yana,good result,atajal|tza_wan_pupako
balyktykol,good result,lebyazhye
deva,good result,hunedoara|sebes
taquara,good result,palmas|ia|guarapuava
sendamangalam,good result,erode|karur|srirangam
wimbee,good result,selkehatchie|ogeechee|tybee|ossabaw_sound
vygozero,good result,lake_vygozero|russian_wastelands_1
gurghiu,good result,targu_mures|reghin
bern,good result,thun|frutigen|fribourg
kamen,good result,suzun|krivoshchekovo
adyukh,good result,khumar|one|shad_kirman
nedong,good result,samye
kunow,good result,urzedow|zwolen|opatow
leer,good result,emden|aschendorf
ribadavia,good result,one|ourense
arvidsjaur,good result,ou|gratesk|lycksele|ia|stensele|akkajaur|ia|arjeplog|ia|sorsele
