location,status,good_results
agvituk,good result,kaipokok|kaipokok_bay|agvituk|gex|abe|otun
agwarmin,good result,wailulu|burdekin
aha_macav,good result,halchidoma|hwalbay|havasu
ahe,good result,purus_amazon_jungle|yjxa|wari
ahkwesasne,good result,ahkwesasne_ny
ahkwesasne_ny,good result,ahkwesasne|kaniatarahontsi
ahmednagar,good result,daulatabad|sinnar
ahsenisiipi,good result,pecatonica|peewareewa|coiracoentanon|wapsipinicon
ahuya_yari,good result,bismuna_lagoon|awastara
ahvaz,good result,dowraq|shushtar
aikana,good result,kwaza|latunde|sabanes
aim_maia,good result,tsipanda|ust_yudoma|aldan_upplands3
aim_mocoylek,good result,lalek_cotaa|quisquisacate|karendo
ain_farah,good result,towing|masa_sud
ainu_nik,good result,akisq_nuk|ktunwakanmituk|yakyu_ki
aire,good result,nogaro|dax
ait_benhaddou,good result,ouarzazate
ajara,good result,belgaum|western_ghats_belgaum
ajase,good result,ardra|abomey|ketu|bouche_du_roy
ajayameru,good result,himalaya8|champavati|kanchapur
ajehuac_yana,good result,atajal|tza_wan_pupako
akbarpur,good result,awadh|kishi|azamgarh|mau_jaunpur
akhalkalaki,good result,akhaltsikhe|tmogvi
akhaltsikhe,good result,gori|akhalkalaki
akhmim,good result,el_buwit|qena
akhsikath,good result,kasan|pop_fargana|marghinan|quva
akhsisek,good result,kelif|khoja_idat_kala|navidakh
akilonda,good result,lukuga|miketo|mtowa
akinka_nup,good result,yaqan_nukiy|ntiltxitk
akinkumasnuqit,good result,aqanqmi|aq_am
akishma,good result,duse_alin|olongki|epe
akisq_nuk,good result,aq_am|ainu_nik
akkajaur,good result,gratesk|alvsby|arvidsjaur|arjeplog
akkus,good result,ladik_pontus|samsun
aklera,good result,sarangpur|kota
aknuq_uk,good result,ktunwakanmituk|yakyu_ki|ne_ktunaxa_ranges
akokpaq,good result,igiugig|nuuriileng|aguyaq|koliaganeq
akola,good result,illichpur|amravati|mehkar
akonolinga,good result,abong|nyong
akre,good result,amadiya|erbil|mosul
aksay,good result,stepanevka|nagavskaya
aksay_pointic,good result,shyngyrlau|terekti|irek
aksumbe,good result,tasty
aktas_kystagy,good result,sighnaq|sawran
akure,good result,owo|ondo|ughoton|mahin|uromi
akwatia,good result,fomena
akwe,good result,tours|kraho|xerente
akyab,good result,launggyet|mrauk_u|arakhan_coast
akyazi,good result,goynuk|akcasehir
al_anbar,good result,karbala|hit
al_bab,good result,manbij|maskanah
al_huwayyit,good result,fadak|as_sulaymi|darghat
al_laghfiyyah,good result,dawbah|ar_rass|at_tarfawi
al_madar,good result,abdas|hoveyzeh
al_matamma,good result,tesenei|tembesha|chilga|quz_rajab
al_mima,good result,el_mahalla|el_burullus
al_mithnab,good result,an_nibaj|unaizah
al_qatr,good result,abdas|nasiriyah
al_rusayrisi,good result,chilga|guba|dabarqi|karkuj
al_tib,good result,wasit|bakusaya
alakol,good result,almenevo|kurtamysh|konildi|zharkol
alamance,good result,pintahae|eno|uwharrie|saura
alamganj,good result,phakphok|tajpur|katihar
alapaha,good result,sawokli|hitchiti
alapahoochee,good result,sawokli|napituca
alat,good result,amol_turkmenabad|firabr
alatyr,good result,sechenovo|atrat|altyshevo
alawa,good result,mudburra|yangman
alays,good result,el_manaqil|renk|kosa
alba_de_aliste,good result,zamora
alba_iulia,good result,aiud|sebes
albarracin,good result,molina_de_aragon
albemarle_sound,good result,pocosin|ye|wiccacon|kehaukee|ou|wa
alcantara,good result,arroyo|idanha
alcaraz,good result,alhambra_location|abe|alcaraz|otun
alcazar_de_san_juan,good result,alhambra_location|tomelloso|malagon
alchan,good result,bikinka|katen|yiman|nuoluo
aldan,good result,tommot|ugoyan
alessandria,good result,voghera|casale
alexeyevskaya,good result,uryupin|kumylzhenskaya
alfenas,good result,tres_pontas|passos|campanha
alferovskaya,good result,ileza
alfta,good result,soderala|hogdal
alhambra_location,good result,alcaraz|lezuza|alcazar_de_san_juan
alirajpur,good result,mandu|mohan
alishang,good result,gandamak|jalalabad|kohi_safi
aliskerovo,good result,keperveem|ilirnej
alkalawa,good result,garadoume|maradi|birni_nkonni|goronyo
alkhan_kala,good result,kurskaya
all_saints_bay,seazone,
allegheny,good result,loyalhanna|youghiogheny|saucunk|wihlink|mahoning_oh
almaden,good result,navalucillos|almodovar_del_campo
almaliq,good result,gulja|tokkuztara|chundzha
almazan,good result,soria|berlanga
almenara,good result,jequitinhonha|nac_nanuk
almenevo,good result,kurtamysh|zharkol|alakol
almodovar_del_campo,good result,ciudad_real|almaden|calatrava
alpo_wa,good result,waluulapam|pa_lus_sa
alpowna,good result,asahkaiowaipu
alpu,good result,lumnanas|wichi|weenhayek
alsigontekw,good result,nebesek|nikitotegwak
altamaha,good result,ocute|oconee
altamaha_sound,seazone,
altayskoye,good result,onguday|mayma|biysk
altintas,good result,aslanapa|banaz
altun_ha,good result,turneffe_atoll|lamanai
altun_kupri,good result,qaladiza|al_sinn
altyshevo,good result,alatyr|promsa
alukpaluk_bay,seazone,
aluksne,good result,gulbene|valka
alura,good result,ngaliwuru|karangpurru|jaminjung
alvdal,good result,norway_wasteland_b|tynset
alvsby,good result,pitea|akkajaur|jokkmokk
alyanbulag,good result,eroo|tarvagatai
alymdya,good result,khakhsyk
alytus,good result,kaunas|punia|merkine
am_dam,good result,salamat|hadjer_haddid
amadiya,good result,hakkari|akre
amaga,good result,tahamies|tatama|ebejico
amahami,good result,awatixa
amaimon,good result,rawa_papua|rao|mum
amalyk,good result,kuanda|olyokma_upplands4
amarbayas_galang,good result,eroo|orkhon
amarkantak,good result,sonhat|sohagpur
amasya,good result,ladik_pontus|sonisa|zile
amatique_bay,seazone,
amaye,good result,nanatsoho|naguatex
amazar,good result,silkari
amazonas_mouth,no river,
ambaca,good result,calumbo|dondo
ambagarh,good result,kanker|nandgram
ambalanjakomby,good result,marovoay|maevatanana|ambolosy|ampotaka
ambam,good result,congo_jungle|ebibeyin|abu_jungle
ambatomanoina,good result,antananarivo|ampotaka|tsarahafatra
ambikapur,good result,ramkola|ramgiri|chaiturgarh|sidhi
ambohidray,good result,moramanga
ambolosy,good result,tsilalanarivo|ambalanjakomby|tsarahafatra
ambositra,good result,midongy
ambraw,good result,quiaghtena|kaskankaham|okaw
ambriz,good result,nsolu
ambrizete,good result,nbengo
ambuila,good result,bembe_kongo|damba|wandu|wembo
ameca,good result,cuauhchinanco|huitzquilic
amedichi,good result,kundy|yukhta
amergo,good result,ouezzane|taunat
amersfoort,good result,dordrecht|tiel
amga,good result,abaga|onnyos
amguema,good result,iultin|chirovoye
amgun,good result,dzhuk|kerbi
ami,good result,mile|jianshui|jiaha
amisk_sakahikan,good result,amiskwaciwiy|stony_mountain_uplands|amisk_sipi
ammonoosuc,good result,ompompanusooc|pemigewasset|sunapee|coos
ammoscongon,good result,umbagog
amnye_machen,good result,lungkya|guide
amol_turkmenabad,good result,alat|daya_kathyn|firabr
amoltepec,good result,tututepec|juchatengo
amomegosode,good result,koraveka|saipuru
amonokoa,good result,peewareewa|peoria|macoupin|oahaha
amoskeag,good result,nashua|pennacook
amot,good result,hedmarksvidda|norway_wasteland_c|norway_wasteland_a
amoyeli_gunahita,good result,kallamuckee|cumberland_mountains|hogohega
amoyescheck,good result,talimeco|pacolate
ampotaka,good result,ambatomanoina|ankazobe|maevatanana|ambalanjakomby
amrabad,good result,macherla|devarakonda|panugallu
amstetten,good result,krems|melk|perg|wels
amulaca,good result,cuilo|cundi|mbanza_mpangu
amundava,good result,uru_eu_wau_wau|kawahib
amursky_bay,good result,nurgan|bitki|pilda
amyint,good result,pakokku|pinya|butalin|dhipaesyin
an_nabhaniyah,good result,buraydah|ar_rass|thadij
an_nibaj,good result,buraydah|al_mithnab|az_zilfi
an_nil,good result,baghdad|numaniyyah|hillah
an_nuhaytiyyah,good result,an_nuqrah|as_sulaymi
an_nuqrah,good result,an_nuhaytiyyah|dawbah
anabar,good result,saskylakh|laptev_sea
anacostia,good result,monocacy
anah,good result,abu_kemal|haditha
anais,good result,buriti|akwen|jaiba|janauba|montes_claros
anajas,good result,curumu|vieira_grande_bay
anak,good result,samhwa|hwangju|taedong_river_mouth
anambe,good result,asurini|marapata_bay
anana,good result,miranda_de_ebro|laguardia
ananatuba,good result,
anantapur,good result,dharmavaram|gutti|rayadurga
anasagunticook,good result,umbagog|androscoggin
anchun,good result,juru_hoton|lake_khanka
ancuase,good result,massangano|sena|chamo|tete|massanza|muchena
ancud_gulf,seazone,
andar,good result,ballia
andarab,good result,kahmard|baghlan
andawaohie,good result,wachilmezi|stadacona|wolinak|ekwentondie
andechs,good result,tolz|munich|ye
andegerebenha,good result,bulamu|tanami_desert
andijan,good result,kerben|quva
andimeshk,good result,gerit|dezful
anding_mashan,good result,baishan|duyang|yongshun
andong,good result,bonghwa|yeongcheon
andong_huaian,good result,qinghe_huaian|jiangsu_coast
andranoboka,good result,mahajambe_bay|tsaratanana
andranomavo,good result,kingany|manoninerina
andreapol,good result,toropets|bibirevo|maryovo
androscoggin,good result,anasagunticook|sagadahoc
andryushkino,good result,yukaghyr_upplands1|kelyuyekyan
andujar,good result,jaen|martos
anegada_bay,seazone,
anegandi,good result,koppal
anelo,good result,newenken|kalfucura|colipilli
angamacutiro,good result,yuririapundaro|tlazazalca
angastaco,good result,oma_sacopo|kilmes
angermunde,good result,chojna
angers,good result,beaupreau|saumur|chateaubriant
angkor,good result,battambang|tonle_sap_lake
angoram,good result,aruamu|abu_jungle|banaro|boiken
angouleme,good result,charroux|cognac
angoya,good result,osenny
angualasto,good result,ullum|limari
angul,good result,baud|narsinghpur|athmallik|kunjabangarh
anhua_anhua,good result,dongping|yiyang_changsha
ani_south,good result,mucusso|khwe|yeyi|hambukushu
anigiduwagi,good result,yuchi
anilco,good result,quigualtam|guachoyo|ayays|tutilpinco|quigate
anipitapiskow,good result,pikwitonei|poskatinak|split_lake
ankavandra,good result,antsiroamandidy|sahadia|tsimanandrafozana
ankazobe,good result,antananarivo|ampotaka
ankober,good result,nora_eth|sharka
ankoro,good result,mukalombo|mussimi
anlong,good result,ceheng|huangcaoba
annaburg,good result,schweinitz|meissen|torgau
annan,good result,xinxing|xincheng_annan|guangsuoling
anning,good result,kunming
anomansah,good result,cabo_corso|cape_three_points
anren_raozhou,good result,guixi_guangxin|yugan
ansbach,good result,weissenburg
anseba,good result,agordat|khawr_baraka
ansongo,good result,gao|kukiya
antananarivo,good result,ambatomanoina|ankazobe
antetikala,good result,mahajanga|marovoay
antietam,good result,monocacy|wapocomo
antinir_pilquinan,good result,chillan_mountains|colipilli
antioch,good result,lake_amik|cape_ad_dariah
antsiroamandidy,good result,fenoarivo|ankavandra|miandrivazo
antwerp,good result,mechelen|scheldt_estuary
anunsu,good result,nambikuara|kabishi
anupgarh,good result,thar_desert_3|suratgarh
anxiang,good result,huarong|dongping|anfu_li|gongan
anyang,good result,fuyang|linzhou|linzhang
anyuysk,good result,ypalgyn
anzourou,good result,kokorou
aouint_yghomane,good result,noul_lamta|tantan
aoukale,good result,tiwal|ndele
aowa,good result,tchankasndata|niobrara|omaha
apafalaya,good result,zabusta|apotaka_hacha
apahtoksipisskan,good result,mokowan|inotonniicaah
apalachee,good result,pallachacola|watappo|omusee
apatzingan,good result,xilotlan|aguacana
apetowun,good result,ya_kti_ki|sakwatamau
apiacas,good result,tapajos_amazon_jungle|kaiabi|ikpeng
apiaka,good result,tapajos_amazon_jungle|rikbaktsa|abu_jungle|ikpeng
apica,good result,ulibahali|itaba|abihka|ishtaboli
apinji,good result,lope|apinji|otun
apolda,good result,eisenberg|naumburg
apollonia,good result,abengourou|ia|aby_lagoon
apoquitaua,good result,urucurituba|turas|amazon_jungle
apotaka_hacha,good result,ohatchee|apafalaya
appomattox,good result,rassawek|saponi
approuage_mouth,seazone,
apt,good result,tarascon|avignon|forcalquier
apucarana,good result,kaiwa|chiripa|imbau|jataizinho
aq_am,good result,akinkumasnuqit|akisq_nuk
aqanqmi,good result,yaqan_nukiy|akinkumasnuqit
aqmecit_prybuzhzhya,good result,torhovytsia|harbuzynka
aquidauana,good result,pantanal_swamp|pantanal_forest|mebengokre|terena
aqush,good result,yaino|pashas
ar_rabb,good result,hit
ar_rass,good result,al_laghfiyyah|unaizah|an_nabhaniyah|at_tarfawi|thadij
arabs_gulf,seazone,
arac,good result,cerkes|safranbolu
arachan,good result,mirim_lake|araicuahita
arad,good result,csanad|lipova
araes,good result,guiratinga|itapirapua|kiriras|iny_karaja
araguaia,good result,sucuriu|piquiri|ytykyra|otuques|guiratinga|utugo_kuri_doge
araguapiche_point,seazone,
araguari_mouth,seazone,
araicuahita,good result,arachan
arakhan_coast,seazone,
aranama,good result,mariame|cantona
aranda_de_duero,good result,fuentiduena|burgo_de_osma|penafiel
arangastakh,good result,kyundyade|elgyai
arapgir,good result,ilic|cemisgezek|arguvan|egin
araquara,good result,bauru|jaboticabal|sao_jose_preto|brotas|sao_carlos
araripocone,good result,areia|goroti_kumrenhtx|iranmranhre|morrinhos|bororos
araritaguaba,good result,itu|abare_i|piracicaba
araska,good result,ragh|farkhor|kishim
aratu,good result,paracatu|cataguases|bagagem
aravali_range,no river,
arbaji,good result,soba|el_manaqil|wad_madani
arboga,good result,skinskatteberg|wej
archar,good result,calafat|vidin|lom
arches,good result,epinal|darney
archit,good result,ust_kishert
ardahan,good result,kars_mountains_2|yalnizcam_mountains|tmogvi
ardatov,good result,azeevo|melenki
ardra,good result,ajase
arechuna,good result,arauca|apure|sarare|caparo
aresh,good result,barda|vartashen|zardab
argada,good result,ust_barguzin|chitkan|bayangol
argas,good result,sitte|ulakhan_kyuyol
argaxtaax,good result,kelyuyekyan
arges,good result,poenari
arghestan,good result,pangvay|kandahar|maruf
argi,good result,tok
arguvan,good result,keban|arapgir|malatya
ariguani,good result,upar|curumanao
arilje,good result,gradac
arka,good result,hakandya_uppland|ushki|okam
arkadak,good result,balashov|turki
arkhan,good result,qubodijon|kunduz|kishim
arkhangelsk,good result,intsi_cape|kholmogory
arkhangelskoye_vologda,good result,vologda|kubenskoye|lake_kubenskoye
arkhara,good result,sutara|jiajin|nioman
arlal,good result,kabara|tindirma
arles,good result,tarascon
armavir,good result,romanovsky_khutor|uspenskoye
arnedo,good result,logrono|calahorra
arnhem,good result,doetinchem|tiel
aroas,good result,gurgueia
arochukwu,good result,calabar|awka_etiti
aroostook,good result,negoot|siegas
aror,good result,nawakot|derawar|omerkot|ghotki
arque,good result,sarkajpa|sachchaa_mukku|charka
arrah,good result,ballia|buxar|sasaram|sonepur_bihar|patna
arroyo,good result,alcantara|plasencia
artah,good result,idlib|lake_amik
artanuji,good result,panaskerti|parkhali|khupati
arti,good result,krasnoufimsk|nyazepetrovsk
artyk,good result,delyankir|pobeda
artyk_ata,good result,kyr_uzkand|zemukh
arua,good result,kambeba|miranha|solimoes_amazon_jungle|cabaliana_lake
arua_amazon,good result,santana_island|vieira_grande_bay
aruamu,good result,rao|abu_jungle|angoram
aruja,good result,piratininga|mogi_das_cruzes|jacarei
arusha,good result,east_african_mountains|usangi|west_aasax
arut,good result,hulu_seruyan|kumai
arvidsjaur,good result,gratesk|lycksele|akkajaur|arjeplog|sorsele
aryaru,good result,thi_nai_lagoon
arykbalyk,good result,konildi|kak
as_sulaymi,good result,an_nuhaytiyyah|al_huwayyit|darghat|samira
asadabad,good result,nahavand
asadabad_kunar,good result,lalpur|hajiabad
asaita,good result,mora_eth
asanas,good result,kyr_uzkand
aschaffenburg,good result,miltenberg
asele,good result,ramsele|volgsjo
aseptiketiheylhets,good result,tefeyak|ipholhhelhlhup|tacshic
ashalaho,good result,aashbiliihkupe|mitse_adazi
ashaval,good result,baroda|dholka|khambat|modasa|patan|champaner
ashby,good result,cacapon|wappacoma
ashca,good result,auqajikuna
ashca_caycu,good result,lule|atoj_wasin
asheyi,good result,kluane|kwachal
ashmunayn,good result,el_buwit|minya|manfalut
ashmyany,good result,kreva|medininkai_vilna
asht,good result,pop_fargana|khujand|kokand|konibodom
ashuapmushuan,good result,mistassibi|kanishushteu|ashuapmushuan_hills|lake_saint_jean
asingasta,good result,yaaucaniga|kuska|sumampa|chupilta
asirgarh,good result,burhanpur|gawilgarh|pachora|iide_mountains
askino,good result,mesyagutovo|ufa
askiz,good result,altay_forest_wasteland_2|beya
aslan_horod,good result,ordu_bazar|rohat_kermen
aslanapa,good result,altintas|kutahya
aslanduz,good result,varsan|kaleybar
asmara,good result,agordat|keren
aspet,good result,saint_gaudens|toulouse|vielha
assa,good result,tizounine|noul_lamta|sahel_corridor33
assabet,good result,naumkeag|nashua|assabet|otun
assan,good result,gabun_jungle|mombote
assereniet,good result,cuttawba|scioto|oheyandewa
assinie,good result,grand_bassam|abengourou|aby_lagoon
assorodus,good result,tsikahiotsisto|oswego|caguya_lake|canadaigua
assosa,good result,renk|fashoda|naser
astrakhan,good result,zamyany|caspian_sea16
asurini,good result,anambe|parakana|saraua_jungle
asvieja,good result,dzisna
aswan,good result,kalabsha|kom_ombo
asyut,good result,el_balyana|manfalut
atacames,good result,mindu
atach,good result,ishkul|yaik
atahachi,good result,humati|piachi|uchee
atajal,good result,ndawe_qoha|saxop_wan_pupako|ajehuac_yana|tza_wan_pupako|tickanwatic
atanagunypacam,good result,grande_delta|tugumlepen
atanari,good result,arauca|cumaribo|maracoa
atash,good result,kotosh|ichugan
atbara,good result,kassala|shemkhiya|berber
atbasar,good result,saryozen|zhaldama|bozok_astana|konildi|shoindykol
atchafalaya,good result,bulbancha|itihumma|opelousa|ciwat
atepec,good result,mictlan|ozumacin
atfalati,good result,kalapuya|watlala
ath,good result,aalst|tournai
athabasca,good result,thilane_hot_ine|lake_athabasca
athani,good result,kolhapur|miraj|mudhol
athmallik,good result,angul|sonepur
atikokiwam,good result,miniss|matapesatakun|petawanga
atikonak,good result,muhaukamau|hamilton_highlands
atikuan,good result,la_grande_hills
atikwa,good result,wabaseemong|lake_of_the_woods
atitlan,good result,nudo_zempoaltepetl|choapan
atiya,good result,muktagacha|savar
atnatuu,good result,chitina
atoj_wasin,good result,patay|matara|ashca_caycu
atpazari,good result,goynuk|cape_pazarbasi
atrakwaye,good result,mattawana|sos|scahentowanen|loyalsock
atrat,good result,alatyr
attaock,good result,tesinigh|wicontiss
attawapiskat,good result,attawapiskat_lowlands
attikamagen,good result,petitsikapau|hamilton_highlands|lake_petitsikapau
attock,good result,mardan|pindi_gheb|sherwan
atuel,good result,mamull_mapu|chical_co|lewfuko
aubusson,good result,gueret
auccapana,good result,sondor|quillarumiyoc
aullagas,good result,karanka|poopo_lake|coipasa_salt_pan
aulnay,good result,charroux
aundh,good result,singarh
aupuhkirakanewe,good result,meskousing|whaypaw
auqajikuna,good result,ashca|kuska|patay
aurukun_coast,seazone,
ausa,good result,kalyani|bhalki|dahrur|harishchandra_range
auwe,good result,karaja|tapirape|iny_karaja
auxonne,good result,beaune|louhans|gray
ava_canoeiro,good result,guatacuba|porangatu|paranoa
avaes,good result,kaaguy_jehasapa|tsiripa|lanagashec|mepenes|agaes
aveh,good result,tafresh|goa|saveh
avesta,good result,hedemora|hedesunda
avignon,good result,apt|orange
avraga,good result,kherlen|rahsaan_khad
awa_brazil,good result,uracu|porangatu|kiriras|canastra
awadh,good result,akbarpur|kishi|ibrahimabad
awajun,good result,bagua
awatixa,good result,manatara|maanaagi_iixodagish|amahami
awbeh,good result,chishti_sarif|karokh
awka_etiti,good result,arochukwu|afikpo
awyu,good result,kaeti|kombai|aghu_jungle|awyu_jungle
axochiapan,good result,itzocan|chiautla|tepexi
axocopan,good result,ixmiquilpan|mixquiahuala
axum,good result,waldeba|abiy_addi|shire
ayagoz,good result,targabatay_mountains|tansyk
ayahuacas,good result,calvas|chira
ayamonte,good result,tavira|puebla_de_guzman|cape_st_mary
ayas,good result,iskenderun|gulf_alexandretta
ayays,good result,anilco|guachoyo|tutilpinco|catalte|utiangue
ayerou,good result,kokorou|kukiya
ayish,good result,otse|tsikip|calcasieu|naconiche|ishak
ayllu_yacuchiri,good result,yukkuman|patay
ayni,good result,panjakent|hissar_mountains2
ayo,good result,quibala|ngololo
ayo_ayo,good result,callapa
ayodhya,good result,lopburi|saraburi|chaisri|bight_ayodhya
ayopaya,good result,paititi|incarraqay
azamgarh,good result,akbarpur|ballia|chillupar|mau_jaunpur
azeevo,good result,kasimov|ardatov|kadom|sasovo
aznakayevo,good result,bugulma|syun
baak,good result,pochutla|lacandon_jungle|zahuatan|tatahuitalpan
baalbek,good result,qusayr
baashalapache,good result,xuahceesh_annappiio|aashise
baba,good result,daule|jama|panzaleo
baba_ata,good result,akkesene|saudakent|sholakkorgan|baba_ata|otun
babahuyu,good result,daule|yaguachi
babruysk,good result,svietlahorsk|svislach|klichaw
babuyan_channel,seazone,
bacau,good result,roman|targu_trotus
backnang,good result,heilbronn|vaihingen
bacs,good result,bodrog|titel|mohacs|vukovar|ilok|sremska_mitrovica
bad_rock,good result,hungry_horse
badajoz,good result,merida|elvas
badamgarh,good result,garhjat_range|bonaigarh
baden,good result,germersheim|offenburg|strasbourg
baden_im_aargau,good result,aarau|kyburg|waldshut
badiraguato,good result,culiacan|tamazula
badong,good result,zigui|wushan
badreh,good result,darrehshahr|holeylan
badrinath,good result,chandpur_garhi
baependi,good result,porto_turvo|baependi_forest|rio_preto
baeza,good result,jaen|ubeda
bafata,good result,kaabu|rio_grande|geba_estuary
bafoulabe,good result,saraya|kourouninkoto|diamou|diakha
bafoussam,good result,foumban|batchingou
bafra,good result,gadegara|cape_sinop
bagagem,good result,uberaba|aratu|pium_i
bagalkot,good result,mudgal|mudhol
bagayevskaya,good result,yundin
bagdarin,good result,karaftit|bukachacha|ziul_zkan|isenga
bage,good result,trevoux
bagram,good result,charikar|kohi_safi
bagua,good result,awajun|utkhupampa|ingatambo
bahal,good result,kota_pinang
bahir_dar,good result,tsana|lake_tana|debra_warq
bahr_salamat,good result,salamat|sarh
bahraich,good result,gonda|biswan|firuzabad_bahraich|salianah
baibalyk,good result,mori_baridag|tarvagatai
baicang,good result,baima|xianning
baima,good result,baicang|shaoyang|otun
baini,good result,longquanping|shiqian|rongshan
baise,good result,laian_tianzhou|tangxing
baishan,good result,anding_mashan|duyang|xincheng_xincheng
baita,good result,hodod|dej
baja_hungary,good result,tolna|kalocsa
bajaur,good result,lalpur|hajiabad|malakand
bajaura,good result,naggar|mandi
bajone,good result,east_lomwe|lipobane_point
bajura,good result,sinja|kharpunath
bakas,good result,eseka|nyong
bakel,good result,moudery|ballou|kayes
bakele_kongo,good result,lambarene|ogoowe_kongo|gabun_jungle
bakgatla,good result,em_dinaneni|egabeni|hlahlandlela|modipe|mapungubwe
bakhanay,good result,jigansk
bakhmach,good result,buryn|melnya
bakhmut,good result,sloviansk|lysychansk
bakhtinsky,good result,komsa|siberia_bor|verkhneimbatsk|kuzmovka
bakka,good result,yola|rei_bouba|binder
bakongo,good result,buassa|lindi_kwila|bag_ngula
bakota,good result,hotin|lipnic|ushytsia
bakusaya,good result,dayr_aqul|al_tib
bala,good result,sysy_meyite|boronuk
balad,good result,mosul|duhok
balad_ruz,good result,khalis|khanaqin
balaganakh,good result,kyakhtinskii|bul_bukhta|molvo
balagannakh,good result,tuorbchany|yunkyur
balagansk,good result,zalari|osinsky|staraya_zima|siberian_wasteland_17
balaghat,good result,chhaparagarh|wairagarh|nainpur
balakovo,good result,malykovka
balangir,good result,saintala|belkhandi|baud|sonepur
balasagun,good result,kysmyci|soltobe|balykchy
balashov,good result,borisoglebsk|arkadak
balat,good result,icarian_sea|guzelhisar|milas
balbalan,good result,aparri|tubigarao
balcheta,good result,choele_choel|fisque_menuco|curu_leufvu|elcui
baldan_bereeven,good result,onon|balj
bale,good result,sheikh_hussein|hargaya
balga,good result,brandenburg_prussia|lidzbark
baligram,good result,kalam_swat|timergara|malakand|agror|jijial|hindu_kush10
balik_gulf,seazone,
balikesir,good result,bigadic|susurluk
baling,good result,huarong|dongping|jianli
balj,good result,onon|baldan_bereeven|kyra
balkonda,good result,nirmal|kaulas|korutla
ballalapura,good result,palasamudram
ballardong,good result,willman|whadjuk|jawan|yabro
ballarpur,good result,bramhapuri
ballia,good result,arrah|buxar|azamgarh|andar|rudrapur|sonepur_bihar|ghazipur
ballou,good result,saraya|bakel
ballymore,good result,athlone|lough_ree
balotipone,good result,pantanal_swamp|haliti|ikuiapa
balrampur,good result,shravasti|bansi
balta,good result,zavallia
