locationA,locationB,accessType
aashbiliihkupe,ashalaho,river
aashbiliihkupe,buaxaxxaashe,land
aashbiliihkupe,cuthuhogwa,land
aashbiliihkupe,great_belt_mountains,land
aashbiliihkupe,little_belt_mountains,land
aashbiliihkupe,shoshonne,river
aashise,aluutashe,land
aashise,baashalapache,river
aashise,binmatshua,river
aashise,buaxaxxaashe,land
aashise,granite,land
aashise,great_belt_mountains,land
aashise,little_belt_mountains,land
aashise,mahpahpahazhhah,river
aashise,rockies_mt,land
aashise,turah,land
aays,kiamichi,river
aays,nanatsoho,river
aays,nasoni,river
aays,nisohone,river
aays,tawakoni,river
aays,yscani,river
aba_al_qur,al_labbah,land
aba_al_qur,an_nafud1,land
aba_al_qur,arar,land
aba_al_qur,syrian_desert7,land
abaco_coast,bahama,port
abaco_coast,bimini_channel,sea
abaco_coast,eleuthera,port
abaco_coast,lucayoneque,port
abaco_coast,palm_beach,sea
abaco_coast,san_salvador_coast,sea
abaco_coast,western_atlantic_high_sea1,sea
abaco_coast,western_atlantic_high_sea2,sea
abaco_coast,western_atlantic_high_sea3,sea
abacoa,andros_coast,port
abacoa,bimini_channel,port
abacoa,torque_ocean,port
abadan,dowraq,land
abadan,iranian_bay,port
abadan,kuwait_bay,port
abadan,muhammerah,river
abadan,quban,river
abadan,zuwayr,river
abadeh,abarkuh,land
abadeh,eqlid,land
abadeh,shahr_meyan,land
abadeh,yazdikhwast,land
abadeh_tashk,harat,land
abadeh_tashk,kherameh,river
abadeh_tashk,lake_batkhtegan,lake
abadeh_tashk,lake_tashk,lake
abadeh_tashk,meshkan,land
abadeh_tashk,neyriz,river
abadeh_tashk,zarqan,river
abaga,amga,river
abaga,darkylakh,land
abaga,myndagai,river
abaga,nuotara,land
abaga,uchele,land
abaga,uorga,land
abagaita,dalai_nuur,river
abagaita,hasar,river
abagaita,hulun,river
abagaita,khirkhira,river
abagaita,lake_hulun,lake
abagaita,tsagaan,land
abagaita,zyyn_tar_nuur,land
abaiang_atoll,abaiang_coast,port
abaiang_atoll,marakei_coast,port
abaiang_coast,aranauka_coast,sea
abaiang_coast,maiana_atoll,port
abaiang_coast,makin_coast,sea
abaiang_coast,marakei_coast,sea
abaiang_coast,tarawa_atoll,port
abaiang_coast,tungaru_high_sea_8,sea
abaiang_coast,tungaru_high_sea_9,sea
abakasnk,askiz,river
abakasnk,beya,river
abakasnk,minusinsk,river
abakasnk,siberian_wasteland_14,river
abakasnk,tatarskaya_tesyu,river
abala,adigrat,land
abala,agula,land
abala,dallol,land
abala,manadeley,land
abala,mekele,land
abalak,aderbissinat,land
abalak,deoule,land
abalak,in_gall,land
abalak,kalfou,land
abalak,marandet,land
abalak,south_talak,land
abalessa,abalessa_djanet_corridor,land
abalessa,ain_abalessa_corridor,land
abalessa,sahel_corridor21,land
abalessa,sahel_corridor23,land
abalessa,tademait_plateau1,land
abalessa,talak,land
abalessa,tanezrouft,land
abalessa,tenere,land
abalessa_djanet_corridor,djanet,land
abalessa_djanet_corridor,tademait_plateau1,land
abalessa_djanet_corridor,tenere,land
aban,biryusa,river
aban,chunoyar,river
aban,dzerzhinskoye,land
aban,ilansky,land
aban,taseyevo,river
abare_i,araritaguaba,river
abare_i,botucatu,river
abare_i,brotas,river
abare_i,itapetininga,river
abare_i,itapeva,river
abare_i,itaporanga,river
abare_i,piracicaba,river
abarkuh,dasht_khara1,land
abarkuh,dasht_khara2,land
abarkuh,dehshir,land
abarkuh,eqlid,land
abarkuh,yazdikhwast,land
abashiri,kawakami_hokkaido,land
abashiri,minamiabashiri,land
abashiri,notoro_cape,port
abashiri,shari,river
abashiri,tokoro,river
abau,central_range_mountains,river
abau,iau_jungle,river
abau,kwomtari,river
abau,maia_papua,river
abau,niksek_jungle,river
abbeville,alabaster_coast,port
abbeville,amiens,land
abbeville,aumale,river
abbeville,corbie,land
abbeville,montreuil,river
abdalkuri_coast,abdalkuri_island,port
abdalkuri_coast,arabian_sea1,sea
abdalkuri_coast,arabian_sea7,sea
abdalkuri_coast,arabian_sea8,sea
abdalkuri_coast,cape_elephant,sea
abdalkuri_coast,guardafui_channel,sea
abdalkuri_coast,gulf_aden3,sea
abdalkuri_coast,hadibu,port
abdalkuri_coast,qulensya,port
abdalkuri_coast,shuub_cape,sea
abdalkuri_island,guardafui_channel,port
abdalkuri_island,shuub_cape,port
abdanan,al_madar,land
abdanan,al_tib,land
abdanan,darrehshahr,land
abdanan,dehloran,land
abdanan,hamidiyeh,land
abdanan,meymeh,land
abdanan,pol_dokhtar,land
abdanan,shush,land
abdas,al_madar,river
abdas,al_qatr,river
abdas,al_tib,river
abdas,basra,river
abdas,wasit,river
abdulino,bavly,river
abdulino,bizhbulyak,river
abdulino,buguruslan,land
abdulino,buzuluk,land
abdulino,sadak,land
abdulino,turkmenevo,river
abe,akaishi_mountains,land
abe,ihara,land
abe,koma_kai,land
abe,shida,land
abe,shuuchi,land
abegweit_passage,kouchibouguac,port
abegweit_passage,malpeque,port
abegweit_passage,malpeque_bay,sea
abegweit_passage,memramcook,port
abegweit_passage,miramichi_bay,sea
abegweit_passage,richibucto,port
abegweit_passage,tatamagouche_bay,sea
abegweit_passage,tignish,port
abemama_atoll,abemama_coast,port
abemama_atoll,aranauka_coast,port
abemama_coast,aranauka_coast,sea
abemama_coast,aranuka_atoll,port
abemama_coast,autakena_spit,sea
abemama_coast,beru_coast,sea
abemama_coast,maiana_atoll,port
abemama_coast,marakei_coast,sea
abemama_coast,nonouti_atoll,port
abemama_coast,tungaru_high_sea_4,sea
abengourou,apollonia,river
abengourou,assinie,river
abengourou,daoukro,river
abengourou,dormaa,river
abengourou,goaso,river
abengourou,grand_bassam,river
abengourou,hemang,river
abengourou,toumodi,river
aberdeen,buchan,river
aberdeen,firth_of_tay,port
aberdeen,inverurie,land
aberdeen,kinnaird_head,port
aberdeen,mar,land
aberdeen,stonehaven,river
aberdeen_lake,kazan_uplands,lake
aberfeldy,badenoch,land
aberfeldy,ben_nevis,land
aberfeldy,scone,land
aberfeldy,strathearn,land
aberystwyth,cambrian_mountains,land
aberystwyth,cardigan,river
aberystwyth,cardigan_bay,port
aberystwyth,harlech,river
aberystwyth,machynlleth,river
abesehir,am_dam,land
abesehir,djedaa,land
abesehir,guereda,land
abesehir,hadjer_haddid,land
abesehir,ouara,land
abesehir,oum_hadjer,land
abha,abil,land
abha,al_harjah,land
abha,al_maddah,land
abha,khaybar_janoub,land
abha,muhayil,land
abha,rijal_almaa,land
abha,sabt_bani_bishr,land
abhar,avaj,land
abhar,qeydar,land
abhar,sirdan,land
abhar,soltaniyeh,land
abhar,takestan,land
abhar,zagros_mountains6,land
abihka,apica,river
abihka,ishtaboli,river
abihka,ohatchee,river
abihka,pakana,river
abihka,talisi,river
abihka,tescuntee,river
abihka,tuckabutche,land
abil,bariq,land
abil,khaybar_janoub,land
abil,muhayil,land
abil,samakh,land
abil,tanomah,land
abimatinu,buskegau,river
abimatinu,james_bay_lowlands,river
abimatinu,kapuskasing,river
abimatinu,kwetabohigan,river
abimatinu,takwata,river
abimatinu,wakusimi,river
abingdon,banbury,river
abingdon,chippenham,river
abingdon,cirencester,river
abingdon,henley,river
abingdon,oxford,river
abingdon,reading,river
abisko,bardodalen,land
abisko,nikkaluokta,river
abisko,ofoti,river
abisko,raunala,land
abisko,skanderna,river
abisko,torne_trask,lake
abisko,troms,land
abitau,dubawnt,river
abitau,eynard_upland,river
abitau,natalkai,river
abitau,robins_lake_upland,river
abitau,tazin,river
abitau,tazin_lake,lake
abitau,thoa,river
abitibi_uplands,chicobi,river
abitibi_uplands,kesagami_lake,lake
abitibi_uplands,lake_abitibi,lake
abitibi_uplands,matagami_depression,river
abitibi_uplands,mattawasaga,river
abitibi_uplands,mesagami,river
abitibi_uplands,mistango,river
abitibi_uplands,nahma,river
abitibi_uplands,olimisk,river
abitibi_uplands,takwata,river
abitibi_uplands,wasakin,river
abitibi_uplands,wawiyastan,river
abiward,anew,land
abiward,dargaz,land
abiward,kalat_nader,land
abiward,karakum_desert2,land
abiward,karakum_desert6,land
abiward,quchan,land
abiward,radkan,land
abiward,tus,land
abiy_addi,adwa,land
abiy_addi,antalo,land
abiy_addi,axum,river
abiy_addi,debarq,river
abiy_addi,mekele,land
abiy_addi,sokota,river
abiz,khargerd,land
abiz,qaen,land
abiz,shahrakht,land
abiz,zohan,land
abiz,zozan,land
abo,abo_skargard,port
abo,nystad,river
abo,poytis,land
abo,sauvo,river
abo_skargard,alands_hav,sea
abo_skargard,east_botnia,sea
abo_skargard,ekenas,port
abo_skargard,north_central_baltic,sea
abo_skargard,nystad,port
abo_skargard,sauvo,port
abo_skargard,west_gulf_of_finland,sea
abomey,ajase,river
abomey,ardra,river
abomey,dassa_zoume,river
abomey,ketu,river
abomey,tado,land
abong,akonolinga,river
abong,bertoua,land
abong,congo_jungle,river
abong,kadey,land
abong,sanaga,land
abong,sangmelima,river
aborlan,babuyan,river
aborlan,balabac_strait,port
aborlan,balabak,river
aborlan,green_island_bay,port
aborlan,treacherous_bay,port
abrahamtelke,adony,river
abrahamtelke,buda,river
abrahamtelke,fehervar,river
abrahamtelke,felegyhaza,land
abrahamtelke,kecskemet,land
abrahamtelke,pest,river
abrahamtelke,solt,river
abruzzo_coast,atri,port
abruzzo_coast,chieti,port
abruzzo_coast,conero_cape,sea
abruzzo_coast,csantangelo,port
abruzzo_coast,gulf_kastela,sea
abruzzo_coast,lanciano,port
abruzzo_coast,larino,port
abruzzo_coast,tremiti_islands,sea
abruzzo_coast,vasto,port
abu,kanoashi,land
abu,mino,river
abu,ootsu,river
abu,saba,river
abu,takayama_cape,port
abu,yoshiki_suou,river
abu_abyad_island,abu_dhabi,port
abu_abyad_island,abu_gamys_cape,sea
abu_abyad_island,das_island,sea
abu_abyad_island,marawah,port
abu_abyad_island,sir_bani_yas,port
abu_abyad_island,southern_trucial_coast,sea
abu_dawood_cape,fujairah_coast,sea
abu_dawood_cape,gulf_oman1,sea
abu_dawood_cape,hadd_cape,sea
abu_dawood_cape,masqat,port
abu_dawood_cape,qalhat,port
abu_dhabi,al_ayn,land
abu_dhabi,dubai,river
abu_dhabi,marawah,river
abu_dhabi,rub_al_khali1,land
abu_dhabi,southern_trucial_coast,port
abu_gamys_cape,al_bidda,port
abu_gamys_cape,al_udayd,port
abu_gamys_cape,das_island,sea
abu_gamys_cape,matbakh_cape,sea
abu_gamys_cape,sir_bani_yas,port
abu_hamed,berber,river
abu_hamed,east_nubian_desert,land
abu_hamed,horn_desert_corridor3,land
abu_hamed,karima,river
abu_hamed,shemkhiya,river
abu_hamed,west_nubian_desert,land
abu_jungle,angoram,river
abu_jungle,aruamu,river
abu_jungle,banaro,river
abu_jungle,rao,river
abu_kemal,anah,river
abu_kemal,jazair,river
abu_kemal,rahba,river
abu_kemal,syrian_desert4,land
abu_kemal,syrian_desert5,land
abu_kemal,syrian_desert_corridor8,land
abu_qasr,al_harrah,land
abu_qasr,an_nafud1,land
abu_qasr,an_nafud2,land
abu_qasr,basithah,land
abu_qasr,bir_fajr_basithah_corridor,land
abu_qasr,dumat_al_jandal,land
abu_rakah,adham,land
abu_rakah,bani_saad,land
abu_rakah,barahrah,land
abu_rakah,ghumayqah,land
abu_rakah,turbah,land
abulat_island,al_lith,port
abulat_island,al_qunfudhah,port
abulat_island,al_shuaiba_coast,sea
abulat_island,al_sirrayn,port
abulat_island,red_sea2,sea
abulat_island,south_tihamah_coast,sea
abun,abun_coast,port
abun,bon_irau_jungle,river
abun,dampier_strait,port
abun,maybrat,land
abun,moi,river
abun_coast,bakaro_bay,sea
abun_coast,bon_irau_jungle,port
abun_coast,cape_saobas,sea
abun_coast,dampier_strait,sea
abun_coast,indonesia_high_sea51,sea
abun_coast,indonesia_high_sea52,sea
aburakeiru,anegada_passage,port
aburakeiru,bay_san_juan,port
aburakeiru,virgin_passage,port
aburra,cocorna,land
aburra,ebejico,land
aburra,ebejico_mountains,land
aburra,guarzo,land
aburra,pantagoras,river
aburra,santa_ines_mountains,river
aburra,sotachiro,river
abuta,isoya,river
abuta,iwanai,river
abuta,sapporo,land
abuta,shiraoi,river
abuta,suttsu,river
abuta,uchiura_bay,port
abuta,yoichi,river
abutua,bumbuzi,river
abutua,chedzurgwe,river
abutua,dambwe,river
abutua,dhlo_dhlo,land
abutua,ingombe_ilede,river
abutua,khami,land
abutua,nembudziya,land
abutua,rimuka,land
abutua,sebakwe,land
abutua,shoma,river
aby_lagoon,apollonia,port
aby_lagoon,assinie,port
aby_lagoon,axim,port
aby_lagoon,cape_three_points,sea
aby_lagoon,ebrie_lagoon,sea
aby_lagoon,north_eastern_atlantic84,sea
aby_lagoon,north_eastern_atlantic85,sea
abyan_coast,ahwar,port
abyan_coast,al_ushaydah_cape,sea
abyan_coast,gulf_aden1,sea
abyan_coast,saylan_cape,sea
abyan_coast,shuqra,port
abyy,esteriktyaax,river
abyy,kebergene,river
abyy,kien_kuol,river
abyy,shestakova,river
abyy,solomoydokh,river
abyy,syagannaax,river
abyy,tuyandina,river
acambaro,cuitzeo_lake,lake
acambaro,huandacareo,river
acambaro,ixtachichimecapan,land
acambaro,kerhiretarhu,land
acambaro,maravatio,river
acambaro,nat_tha_hi,land
acambaro,xiriquitzio,river
acambaro,yuririapundaro,river
acambaro,zinapecuaro,river
acanti,darien_gulf,port
acanti,darien_jungle,river
acanti,murri,river
acaponeta,aztatlan,river
acaponeta,chiametlan,river
acaponeta,guarisamey,land
acaponeta,huizache_lagoon,port
acaponeta,maloya,land
acaponeta,mezquital,land
acaponeta,nayarit,land
acaponeta,nayarit_coast,port
acapulco_bay,chantengo_lagoon,sea
acapulco_bay,east_pacific_high_sea4,sea
acapulco_bay,nuxco_lagoon,sea
acapulco_bay,tecpan,port
acapulco_bay,yopitzinco,port
acarau,arerius,land
acarau,igaracu,land
acarau,jenipaboacu,land
acarau,tacariju,land
acarau,tapuia,land
acarau,tremembe,land
acari,cahuachi,river
acari,maracona_gulf,port
acari,pukiupukio,land
acari,tucssa,land
acari,yauca,river
acari,yauca_coast,port
acasaguastlan,chiquimula,land
acasaguastlan,cuauhtemallan,river
acasaguastlan,kajyub,land
acasaguastlan,minas_mountains,land
acasaguastlan,ocotepec,land
acasaguastlan,toquegua,river
acatic,chapallan,river
acatic,coinan,river
acatic,ixtlahuacan,river
acatic,tepactitlan,land
acatic,tonala,river
acay_mountains,angastaco,river
acay_mountains,antofalla,land
acay_mountains,cochinoca,land
acay_mountains,fiambalao,land
acay_mountains,kilmes,river
acay_mountains,lickanantay,land
acay_mountains,paya,land
acay_mountains,puma,land
acay_mountains,shincal,river
acay_mountains,susques,land
acay_mountains,tastil,land
acayucan,atzaccan,river
acayucan,coatzacoalco,river
acayucan,coatzacoalcos_bay,port
acayucan,iztachacalapan,river
acayucan,tesechoacan,river
acayucan,texistepec,river
accomac,chesapeake_channel,port
accomac,chincoteague_bay,port
accomac,lower_chesapeake_bay,port
accomac,wicomico,river
accra,accra_point,port
accra,akropong,river
accra,apa_lagoon,port
accra,kibi,land
accra,mankessim,land
accra,winneba,river
accra_point,akropong,port
accra_point,apa_lagoon,sea
accra_point,cape_saint_paul,sea
accra_point,north_eastern_atlantic86,sea
accra_point,north_eastern_atlantic87,sea
acerenza,altamura,land
acerenza,andria,land
acerenza,melfi,land
acerenza,montepeloso,land
acerenza,potenza,land
achacachi,illimani_volcano,land
achacachi,titimani,river
achacachi,titiqaqa_lake,lake
achacachi,viacha,river
achachiwa,andahua_volcanoes,land
achachiwa,camana,land
achachiwa,kunturi_mountains,land
achachiwa,uyo_uyo,land
achachiwa,yanque,land
achaivayam,apuka,land
achaivayam,kerek_uplands,land
achaivayam,koryak_uplands2,land
achaka,kolyma_river,river
achaka,kolyma_upplands1,land
achaka,kolymskoie,river
achaka,omoloon,river
achaka,xalima,river
achaka,yukaghyr_upplands1,land
acham,bajhang,land
acham,bajura,river
acham,dipayal,river
acham,dullu,river
acham,kailali,river
acham,sinja,river
achan,kedar,land
achan,kur,land
achan,lake_bolon,lake
achan,lake_khummi,lake
achan,nemptu,river
achan,simmi,river
achan,uninka,river
achan,uschu,river
achan,xungake,river
achava,bukhta_mutnaya,port
achava,kamchatka_trail1,land
achava,kamchatka_uplands2,river
achava,kamchatka_uplands3,river
achava,oktyabr_skii,river
achchen_bay,enmyl_yn,port
achchen_bay,guvrel,port
achchen_bay,kongkok_bay,sea
achchen_bay,mechigmenskiy_zaliv,sea
achchen_bay,medvezh_ye_bay1,sea
achchen_bay,north_pacific_high_sea47,sea
achchen_bay,north_pacific_high_sea88,sea
achchen_bay,sevuokuk_point,sea
achchen_bay,sigheneg,port
achen,cay_forest,river
achen,corcovado_gulf,port
achen,guaitecas_archipelago,port
achen,guamblin_island,port
achen,melimoyu_forest,river
achen,puyuguapi_channel,port
achen,san_rafael_forest,river
achikamii,james_bay_lowlands,land
achikamii,kabinakagami,land
achikamii,mammamattawa,river
achikamii,mattawishkwia,land
achikamii,nagagami,land
achikamii,watistiguam,river
achim,bremen,river
achim,hoya,river
achim,osterholz,river
achim,verden,river
achim,zeven,land
achit_nuur,altay_mountains,land
achit_nuur,khovd,land
achit_nuur,khurgan,land
achit_nuur,khyargas_nuur,land
achit_nuur,lake_achit,lake
achit_nuur,mongol_altay,land
achit_nuur,tsagaan_usun,land
achit_nuur,ulaamgom,land
achit_nuur,western_sayan_mountains,land
acholi,gondokoro,river
acholi,karamoja,land
acholi,lango,river
acholi,pubungu,river
acholi,rejaf,river
acholi,teso,land
achomawi,atsugewi,land
achomawi,cui_yui_ticutta,land
achomawi,modokni,land
achomawi,panina_ticutta,land
achomawi,tollin,river
achomawi,yana,river
aco,ayo,river
aco,gunza_anbamba,river
aco,lucala,river
aco,mussende,river
aco,nanboa_angonga,land
aco,pungo_ndongo,river
aconca_hue,aconcagua_volcano,land
aconca_hue,huemui_mountains,land
aconca_hue,liwen,land
aconca_hue,qillu_uta,land
aconca_hue,uspallata,land
aconca_hue,waykuche,land
aconcagua_volcano,angualasto,river
aconcagua_volcano,limari,river
aconcagua_volcano,liwen,land
aconcagua_volcano,millapel,land
aconcagua_volcano,uspallata,land
aconchi,aritpa,land
aconchi,cucurpe,land
aconchi,matape,land
aconchi,oposura,land
aconchi,ures,land
aconquija,kilmes,land
aconquija,pipanaco,river
aconquija,pipanaco_salt_pan,lake
aconquija,shincal,land
aconquija,watungasta,land
aconquija,yukkuman,land
acoroazes,ipueira,river
acoroazes,irece,river
acoroazes,jaguarari,river
acoroazes,kaapiuara,land
acoroazes,parnagua,land
acoroazes,piaui_jungle,land
acqui,alba,land
acqui,alessandria,land
acqui,asti,land
acqui,cairo_montenotte,land
acqui,ceva,land
acqui,genoa,land
acre,jaffa,river
acre,nablus,land
acre,safed,land
acre,sidon,river
acroas,akwe,river
acroas,caraja,river
acroas,coco,land
acroas,gurupi,river
acroas,karaja,land
acroas,kraho,river
acroas,tocantis_amazon_jungle,land
acroas,tupirama,land
acroas,xerente,river
acteon,matureivavao_coast,port
acu_lagoon,frio_cape,sea
acu_lagoon,guaitaka,port
acu_lagoon,mokaie,port
acu_lagoon,paraiba_delta,sea
acu_lagoon,western_atlantic_high_sea41,sea
acu_lagoon,western_atlantic_high_sea42,sea
acuera,apopka_lake,lake
acuera,george_lake_fl,lake
acuera,guazoco,river
acuera,harris_lake,lake
acuera,ho_bay,river
acuera,itaraholata,river
acuera,jororo,river
acuera,surruque,river
acuera,vicela,river
ad_dahna1,al_ajfar,land
ad_dahna1,al_waqbi,land
ad_dahna1,an_nibaj,land
ad_dahna1,ash_shuaybah_hail,land
ad_dahna1,hafar_al_batin,land
ad_dahna1,linah,land
ad_dahna1,mashdhubah,land
ad_dahna1,tanumah,land
ad_dahna1,tanumah_mashdhubah_corridor,land
ad_dahna2,al_majmaah,land
ad_dahna2,al_qaiyah,land
ad_dahna2,az_zilfi,land
ad_dahna2,mashdhubah,land
ad_dahna2,tanumah,land
ad_dahna2,tanumah_mashdhubah_corridor,land
ad_dahna3,al_majmaah,land
ad_dahna3,al_qaiyah,land
ad_dahna3,al_suman,land
ad_dahna3,diriyah,land
ad_dahna3,hafar_al_batin,land
ad_dahna3,jarrarah,land
ad_dahna3,malham,land
ad_dahna3,mashdhubah,land
ad_dahna3,rumah,land
ad_dahna3,rumah_jarrarah_corridor,land
ad_dahna3,thadiq,land
ad_dahna4,al_uyayna,land
ad_dahna4,jarrarah,land
ad_dahna4,khurays,land
ad_dahna4,nita_arabia,land
ad_dahna4,qaryat_ulya,land
ad_dahna4,rumah,land
ad_dahna4,rumah_jarrarah_corridor,land
ad_dahna4,urayrah,land
ad_dahna5,al_hunayy,land
ad_dahna5,al_yamamah,land
ad_dahna5,harad_al_ahsa,land
ad_dahna5,khurays,land
ad_dahna5,rumah,land
ad_dawasir,aqiq_banu_uqayi,land
ad_dawasir,ar_rakbah1,land
ad_dawasir,ar_rakbah2,land
ad_dawasir,ranyah,land
ad_dibdibah,al_suman,land
ad_dibdibah,ar_rukai,land
ad_dibdibah,ash_shuaybah,land
ad_dibdibah,hafar_al_batin,land
ad_dibdibah,jannah,land
ad_dibdibah,qaryat_ulya,land
ad_dibdibah,qurain,land
ad_dilam,al_hajr,land
ad_dilam,al_yamamah,land
ad_dilam,ar_rayn,land
ad_dilam,muzahmiyah,land
ad_dilam,naam,land
ad_disah,al_azlam,land
ad_disah,al_bleiteh,land
ad_disah,al_khanbarah,land
ad_disah,al_muwaylih,land
ad_disah,al_ukhaydir,land
ad_disah,bada_yaqub,land
ad_disah,duba,land
ad_dughmiyah,al_amlah,land
ad_dughmiyah,ar_rakbah1,land
ad_dughmiyah,dhalam,land
ad_dughmiyah,muwayh,land
ad_dughmiyah,turbah,land
adachi,asaka,land
adachi,date_loc,land
adachi,mount_azuma,land
adachi,namekata,land
adachi,shineha,land
adachi,shinobu,land
adachi,tamura,land
adachi,yama_jap,land
adachi_kanto,hiki,land
adachi_kanto,katsushika,river
adachi_kanto,saitama,river
adachi_kanto,toshima_kanto,land
adakli,genc,land
adakli,karagol_mountains,land
adakli,mercan_mountains_2,land
adakli,palu,land
adakli,tercan,land
adalaga,barvinkove,land
adalaga,berestyn,land
adalaga,izium,river
adalaga,karlivka,land
adalaga,sloviansk,river
adalaga,zmiiv,river
adams_bridge,indian_coast32,port
adams_bridge,indian_coast33,port
adams_bridge,indian_coast34,port
adan,al_mafalis,river
adan,lahj,land
adan,marshaq_cape,port
adan,saylan_cape,port
adan,zinjibar,river
adana,anavarza,river
adana,ayas,river
adana,tarsus,river
adang_bay,cape_belangbelang,sea
adang_bay,cape_udung,sea
adang_bay,jembayan,port
adang_bay,laut_strait,sea
adang_bay,mahakam_delta,sea
adang_bay,paser,port
adang_bay,tuyuk,port
adanki,kanigiri,land
adanki,kondavidu,land
adanki,markapur,land
adanki,motupalli,land
adanki,vinukonda,land
adare,dunhallow,land
adare,fermoy,land
adare,killmallock,land
adare,limerick,river
adare,shannon_estuary,port
adare,tralee,river
addu_atoll,addu_coast,port
addu_coast,maldives_high_sea_3,sea
addu_coast,maldives_high_sea_4,sea
addu_coast,maldives_high_sea_5,sea
addu_coast,maldives_high_sea_6,sea
addu_coast,maldives_high_sea_7,sea
addu_coast,maldives_high_sea_9,sea
addu_coast,nilandhe_coast,sea
adena,chenoka,land
adena,eskippakaithiki,land
adena,kentucky,land
adena,lewekeomi,land
adena,pennyrile,river
adena,warioto,river
adeqiu,dzingcho,river
adeqiu,nushan,river
adeqiu,sangme,river
adeqiu,tsakhalkho,river
adeqiu,zhuluo,river
aderbissinat,birni_lalle,river
aderbissinat,deoule,river
aderbissinat,erg_of_bilma,river
aderbissinat,marandet,land
aderbissinat,ollelewa,river
adham,al_sirrayn,land
adham,barahrah,land
adham,ghumayqah,land
adigrat,agula,land
adigrat,buri,land
adigrat,dallol,land
adigrat,senafe,land
adigrat,zula,land
adilabad,asifabad,land
adilabad,kalam,river
adilabad,kelapur,river
adilabad,mahur,river
adilabad,manikdrug,river
adilabad,nirmal,land
adilabad,yegaladapa,land
adirondacks,kanyengehaga,land
adirondacks,kawenote,land
adirondacks,niiohehsane,land
adirondacks,oneyotdehaga,land
adirondacks,oronia,land
adirondacks,oswegatchie,land
adixoodagoorahareesh,awatixa,river
adixoodagoorahareesh,badlands_mt,land
adixoodagoorahareesh,koostaaka,river
adixoodagoorahareesh,maanaagi_iixodagish,river
adixoodagoorahareesh,nd_badlands,land
adixoodagoorahareesh,waahukaahaanu,river
adjud,eastern_carpathians8,land
adjud,focsani,river
adjud,roman,river
adjud,targu_trotus,river
adjud,tecuci,river
adjud,tulnici,land
adlur,balkonda,river
adlur,kaulas,river
adlur,medak,river
adlur,tupran,river
adlur,vemulawada,river
admiralty_sound,agostini_forest,port
admiralty_sound,dawson_forest,port
admiralty_sound,felipe_bay,sea
admiralty_sound,haiyuwel,port
